Gross  		tomatoMeter   tomatoRating    userMeter  userrating    userreviews

All_genre  0.10333031     0.12703109     0.14172674   0.14974351   0.30152439
  
Action      0.40602792		0.45032259		0.38538307	0.38647094	0.32594589

Adventure   0.35261004		0.39377632		0.35121415	0.37266618	0.35191317

Animation   0.25921344		0.30368224		0.30065388	0.30953167	0.30632484

Comedy      0.08341724		0.11141488		0.13989664	0.14564922	0.31090006

Crime       0.08275904		0.10051594		0.195999	0.19581402	0.32359783

Horror      0.16576886		0.20072797		0.28187456	0.26166557	0.2717566

Documentary -0.11029973		-0.16214857		-0.16399681	-0.18176766	0.03127186

Biography    0.08243645		0.11636799		0.28425363	0.23484749	0.55631584

Drama        0.02771422		0.06112813		0.13441423	0.10303228	0.2655619

Romance      0.00348012		0.03193553		0.09860229	0.03529133	0.38185034

Sci-Fi 	     0.3902740		0.41197638		0.44050479	0.47934664	0.21114906

Thriller     0.2014873		0.22154912		0.28431619	0.28700108	0.25101105

Family		0.31986485		0.32905332		0.22299811	0.19319305	0.32945787

Fantasy 	0.39352388		0.41724525		0.40394719	0.43412429	0.36818033

History		-0.06614999		-0.01689814		0.11868935	-0.06130583	0.74081801

Mystery		0.12151779		0.14424969		0.21127689	0.18940607	0.21100541

Sport		0.20499622		0.20341473		0.21581747	0.08823262	0.34349088

Music 		-0.06486481		-0.06916611		-0.00829333	-0.04337765	0.49411462
