Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
91471940,31566527,2711,88367346,6.6,77,2103,79,6.6,tt0184894,65,3.2,414625
163307690,40706897,3006,144601113,6.5,35,2233,24,4.4,tt0187078,77,3.5,954810
24047457,10664862,2315,102184786,5.1,24,empty,12,3.6,tt0208988,27,2.5,29781
301582374,55942984,2938,165487940,8.5,64,302,76,7.2,tt0172495,87,3.8,34126192
15470312,6801560,1823,8033395,5.9,20,empty,25,3.9,tt0259974,64,3.3,20792
110014711,24916129,2307,120500927,5.9,48,4234,48,5.2,tt0190865,41,2.8,59732
6785662,3468466,867,6426716,4.6,22,empty,16,3.2,tt0190524,56,3.2,19924
9716963,3455932,1515,13656771,6.7,49,empty,48,5.4,tt0202677,70,3.3,31261
182085484,36011637,3061,176734693,7.1,63,875,61,6.1,tt0187393,81,3.6,422407
34498106,18555372,3307,117287569,2.4,9,2970,3,2.3,tt0185183,11,1.6,54004
117623911,42439440,2956,152634508,5.7,24,2132,27,4.4,tt0164052,27,2.6,366482
52376019,16400769,2705,104434137,6.2,45,empty,40,5.3,tt0228750,43,2.9,47070
20567403,9998893,1543,40166975,4.6,21,empty,11,3.3,tt0144964,38,2.8,46306
24397808,11628214,2078,72300556,3.7,14,4861,10,3.1,tt0190374,19,2.2,47630
252730157,87518176,3025,120500927,7.4,64,549,81,7.1,tt0120903,83,3.7,1065186
113004577,34888644,2337,73907235,5.9,50,2190,68,6.1,tt0162650,41,2.9,64522
201325792,64473700,3037,149421150,5.5,52,1956,68,6.2,tt0160127,45,2.9,728764
55500640,20920379,2516,131747680,5.9,49,3542,41,5.2,tt0216216,32,2.7,125691
53021013,13876191,2204,86760667,4.9,26,4129,17,3.5,tt0219653,40,2.8,69851
48520268,16727124,2630,96400742,5.7,30,empty,16,3.9,tt0160009,36,2.9,26570
171605639,22258426,2668,72300556,6.2,43,2408,42,5.1,tt0212346,69,3.2,975024
56245302,17729518,2412,56233766,5.6,24,empty,9,3.1,tt0192614,43,2.8,56901
346094552,92938825,3653,200834879,6.1,59,1859,57,5.9,tt0120755,43,3.0,450856
188880284,41229056,2802,48200371,5.1,33,empty,30,4.4,tt0208003,57,3.2,475534
293409209,66396078,3407,224935064,6.4,59,2801,47,5.5,tt0177971,64,3.2,278884
123852508,31415893,2583,99614100,6.6,62,971,68,6.3,tt0141926,62,3.2,56543
205763862,1065557,16,27313543,7.9,93,2423,97,8.6,tt0190332,86,3.6,426207
89931185,28943524,2641,40166975,6.1,52,4205,33,4.8,tt0165929,61,3.1,192066
24622560,8813584,2352,81940630,5.7,39,empty,26,4.2,tt0211938,41,3.0,11889
36555127,15065580,2734,120500927,6.6,48,3783,52,5.7,tt0120913,60,3.2,69159
1999794,926764,661,20886827,4.4,18,empty,60,4.9,tt0216772,58,3.5,10803
