Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
21780121,9189604,2009,56233766,5.7,45,3301,55,5.5,tt0192255,55,2.8,52284
91471940,31566527,2711,88367346,6.6,77,2103,79,6.6,tt0184894,65,3.2,414625
15470312,6801560,1823,8033395,5.9,20,empty,25,3.9,tt0259974,64,3.3,20792
97805967,36721046,3054,160667903,5.6,34,empty,25,4.1,tt0183523,30,2.6,53403
110014711,24916129,2307,120500927,5.9,48,4234,48,5.2,tt0190865,41,2.8,59732
10512812,3874418,2112,80333951,5.6,33,empty,10,3.7,tt0167203,56,3.1,5506
34498106,18555372,3307,117287569,2.4,9,2970,3,2.3,tt0185183,11,1.6,54004
301582374,55942984,2938,165487940,8.5,64,302,76,7.2,tt0172495,87,3.8,34126192
293409209,66396078,3407,224935064,6.4,59,2801,47,5.5,tt0177971,64,3.2,278884
96414082,23026633,2664,20886827,4.9,34,empty,28,4.2,tt0184907,26,2.5,49509
24397808,11628214,2078,72300556,3.7,14,4861,10,3.1,tt0190374,19,2.2,47630
252730157,87518176,3025,120500927,7.4,64,549,81,7.1,tt0120903,83,3.7,1065186
201325792,64473700,3037,149421150,5.5,52,1956,68,6.2,tt0160127,45,2.9,728764
42450571,21246542,3317,24100185,4.0,15,987,13,3.4,tt0229260,18,2.1,58015
107553599,31946163,2704,136567717,4.8,35,empty,31,4.4,tt0211181,32,2.9,406385
143470931,15765219,2801,160667903,7.3,70,1982,85,7.1,tt0120917,83,3.4,449331
41774634,10948344,2460,122107606,4.1,36,empty,43,4.8,tt0131704,19,2.2,51853
375371864,46406362,2774,144601113,7.7,73,943,90,7.4,tt0162222,83,3.5,742342
73114530,313469,5,41773654,7.8,69,1391,77,7.1,tt0190590,89,3.7,255463
346094552,92938825,3653,200834879,6.1,59,1859,57,5.9,tt0120755,43,3.0,450856
63911441,24546715,2547,80333951,6.6,43,1124,19,4.4,tt0163978,57,3.0,216824
20567403,9998893,1543,40166975,4.6,21,empty,11,3.3,tt0144964,38,2.8,46306
25564405,6675642,2106,30526901,3.6,19,empty,19,3.9,tt0205461,38,2.8,3150
122913256,36500829,2934,48200371,6.1,62,empty,75,6.3,tt0213203,56,2.8,58275
81623570,20640446,3218,152634508,6.9,51,2644,48,5.5,tt0138749,64,3.2,61858
52252981,3718893,131,96400742,7.9,90,702,89,7.9,tt0181875,92,3.7,323837
171583544,28126783,2491,72300556,7.0,88,3266,97,8.1,tt0120630,64,3.0,547557
48520268,16727124,2630,96400742,5.7,30,empty,16,3.9,tt0160009,36,2.9,26570
36555127,15065580,2734,120500927,6.6,48,3783,52,5.7,tt0120913,60,3.2,69159
221316924,62427274,3257,204851576,6.5,56,3655,65,6.2,tt0130623,47,3.0,70839
145330614,29070890,2805,104434137,6.4,73,4172,78,6.7,tt0186566,53,3.0,72670
37533273,13059659,2204,67480519,5.7,37,empty,25,4.2,tt0184858,27,2.5,42997
110098659,24877824,2530,25706864,6.5,55,321,57,5.9,tt0215129,66,3.3,465261
16721546,727043,21,52358421,7.1,57,4751,72,6.3,tt0237534,78,3.5,48900
39153786,11803246,2123,32360247,4.8,37,empty,11,3.6,tt0231402,25,2.4,171756
275424323,104857850,3500,153003533,5.7,50,1409,45,5.5,tt0133152,27,2.7,366230
86611051,17843415,2550,73441696,6.4,52,1589,44,5,tt0250687,64,3.1,403307
120286312,44910561,3242,153003533,7.1,65,1390,73,6.6,tt0212720,64,3.1,413110
309078827,104255131,3401,149943462,6.3,48,1212,47,5.2,tt0209163,63,3.3,747579
443568593,7711378,2618,175954063,8.1,78,994,96,8,tt0198781,90,3.8,1252509
7653711,3118745,1605,19890459,5.6,41,4664,30,3.8,tt0258470,48,2.8,243429
41445130,12264775,2638,27081625,5.9,20,2139,11,3,tt0245686,63,2.8,323368
51138074,16987902,2571,76501766,4.8,32,empty,14,3.4,tt0265087,34,2.6,169050
85810449,25263011,2980,99452296,6.9,54,1380,58,5.8,tt0183790,79,3.5,377959
485874794,138153960,3672,191254416,7.5,64,81,80,7.1,tt0241527,82,3.7,1152750
128603695,503398,2,183604240,6.8,52,2745,49,5.5,tt0230011,52,2.9,364927
409517042,64793569,3587,91802120,7.9,84,1062,88,7.8,tt0126029,90,3.9,1377119
5038801,2304589,712,10710247,5.2,31,empty,29,3.8,tt0258038,63,2.8,30348
20803754,8065195,2305,107102473,6.2,57,4998,55,5.5,tt0181739,41,2.8,62473
20842650,624393,40,3060070,7.7,88,1670,92,8.1,tt0245574,88,3.9,68853
123811909,28389726,3139,45901060,6.0,65,empty,75,6.4,tt0268397,52,2.8,56929
9141430,2407440,314,33660777,4.1,35,empty,10,3,tt0263728,45,3.0,2009
41393292,15778856,2438,61201413,4.7,27,empty,11,3.2,tt0246544,33,2.8,20728
482794617,72235247,3359,142293286,8.8,92,212,91,8.2,tt0120737,95,4.1,1352522
7222334,85322,2,10710247,6.5,38,empty,29,4.6,tt0250371,72,3.6,10072
49162835,17455948,2649,209614840,6.4,49,2209,44,5.3,tt0173840,48,3.0,141471
172422836,2412708,1676,53551236,5.4,71,2171,93,7.2,tt0227538,46,2.6,426823
277190557,77682410,3434,142293286,5.9,42,2119,50,5.2,tt0163025,36,3.0,525232
15376680,688269,26,29070671,8.6,94,487,97,8.6,tt0245429,96,4.2,333324
200655234,73037373,3308,175954063,5.7,33,2126,19,3.9,tt0146316,47,3.1,555685
102219541,30767218,2951,87212014,6.1,43,4896,56,5.5,tt0236493,44,2.9,132156
9189778,131691,9,8943201,7.5,80,empty,88,7.6,tt0252444,86,3.8,23558
59443187,8963840,3012,37263339,5.2,69,empty,80,6.7,tt0282120,50,2.8,20785
109129876,34600852,3317,119242685,7.0,52,3912,69,6.4,tt0166813,76,3.3,59282
64185329,23300439,2629,89432013,6.2,39,1553,40,5.2,tt0253556,49,3.0,131895
120957830,35337829,2302,52168674,5.1,29,empty,24,4,tt0281373,39,2.8,129688
60163196,18713127,2565,23848537,3.3,12,empty,1,2.3,tt0295427,31,2.3,58882
127545505,24909373,3307,56640275,5.1,66,4711,74,6.6,tt0287717,38,2.6,125987
217311354,52556529,3191,119242685,7.2,73,1764,86,7.3,tt0275847,77,3.3,465923
64271626,27594702,2711,89432013,6.4,51,1430,37,5.2,tt0253754,49,3.1,74621
80837689,16956533,2007,52168674,7.7,61,1234,73,6.7,tt0245844,88,3.6,208823
55128130,15066809,2540,38753872,5.2,40,empty,29,4.8,tt0157472,30,2.6,58038
510584306,1084579,126,140110154,8.7,88,571,96,8.5,tt0167261,95,4.1,1338376
38114956,9243312,940,20867469,6.6,58,empty,65,5.8,tt0298388,74,3.5,23600
7208172,3329143,1800,59621342,4.5,17,empty,8,3,tt0283160,27,2.6,8113
228481180,80720310,3447,125204819,4.9,35,782,30,4.4,tt0267913,37,2.7,408063
56819965,18010486,3227,208674698,7.1,60,2892,69,6.5,tt0133240,70,3.2,67516
71264310,17221647,2531,22358003,5.4,36,4748,42,4.9,tt0265298,44,2.9,399943
84490625,33701615,2944,119242685,5.9,42,2496,29,4.8,tt0268695,37,2.7,171547
239889659,70162455,3314,211655765,6.1,56,1987,58,6.1,tt0246460,41,3.1,429739
42329948,14215401,2525,19376936,5.4,50,empty,53,5.3,tt0305396,43,2.8,43902
390475994,131699801,3682,149053356,7.4,63,341,82,7.2,tt0295297,80,3.7,1147979
44950044,16406849,2944,104337349,5.6,37,empty,10,3.9,tt0280486,35,2.8,56621
601737901,171179009,3615,207184165,7.3,73,270,89,7.7,tt0145487,67,3.3,34294413
49345007,19008480,3182,104337349,5.4,35,empty,15,4.1,tt0297181,33,2.7,78539
20397875,8505479,2527,4471600,5.9,47,empty,29,4.6,tt0314166,36,2.8,14513
27285954,10221898,1912,52168674,6.5,49,4195,41,5.4,tt0240510,65,3.2,38042
211818803,66337840,3374,104337349,5.8,48,2160,48,5.6,tt0295701,59,3.2,463585
72176655,23287297,2605,29810671,5.8,49,empty,46,5.4,tt0280030,38,3.1,19375
134657291,53772302,3444,89432013,5.5,45,3256,41,4.9,tt0277296,38,2.8,292823
283825616,77729463,3557,208674698,6.1,49,2558,39,5.3,tt0120912,45,3.1,925097
96491350,22529641,3255,178864027,5.4,66,empty,81,7,tt0243585,41,2.7,179518
262911347,69030267,3316,87941480,7.6,60,1788,77,6.8,tt0268380,82,3.6,1133801
463072383,119284142,3161,171411359,6.7,54,1063,65,6.7,tt0121765,58,3.3,846486
17009438,5340751,2340,16395869,6.5,65,empty,63,6.1,tt0289408,57,3.1,10382
43961869,1581122,47,718076,5.7,63,3808,72,6.6,tt0374102,32,2.4,55667
94298059,31284632,3222,136434494,5.5,43,3419,24,4.5,tt0325703,45,3.0,420576
37754038,9872797,3086,86169154,6.7,48,4743,46,5.6,tt0165982,56,3.1,56207
95841630,31445254,2818,86169154,4.4,16,empty,8,3.2,tt0257568,28,2.5,59136
69535419,15998014,2813,143615257,6.9,64,1367,77,6.8,tt0316396,74,3.3,426671
27977313,12122031,2787,114892205,5.6,28,2926,11,3.7,tt0300556,45,2.9,56694
86844461,28153803,2753,71807628,6.2,58,2859,66,6,tt0300471,54,3.1,334589
2402295,164544,29,2872305,3.2,N/A,empty,17,4.2,tt0349159,14,2.2,54
167935998,53227454,3202,114892205,6.0,45,2987,48,5.4,tt0257076,52,3.1,273274
59060183,23966188,2904,134998341,8.2,90,489,99,8.7,tt0266543,86,3.8,33354194
9696024,904774,51,empty,5.7,51,empty,45,5.6,tt0318850,68,3.5,6237
542644367,104307349,3703,134998341,8.9,94,433,95,8.7,tt0167260,86,3.7,34676626
38632986,15558749,2756,86169154,6.5,55,4786,58,6.1,tt0338188,50,3.1,49779
61284407,24901097,2825,24414593,5.3,56,4636,40,5.4,tt0306841,48,2.7,393119
6356837,2982030,1798,50265339,6.5,32,empty,14,4.3,tt0294357,72,3.5,32042
7341080,3606757,2253,empty,6.0,30,empty,8,3.1,tt0338077,79,3.5,52853
30146801,13381166,2903,114892205,5.7,64,2364,57,6,tt0318155,50,2.9,63309
40172648,13117939,2236,50265339,6.1,51,4208,33,4.8,tt0274166,50,2.9,401541
33137225,8757310,2084,50265339,6.0,62,empty,71,6.2,tt0323642,65,3.4,9586
122545818,419270,2,183827529,6.8,48,3794,38,5.5,tt0328880,64,3.3,188153
137343024,20930793,2163,113456053,7.2,73,1790,71,6.7,tt0159365,77,3.3,209533
14647828,8162057,1520,10053067,2.0,15,empty,4,1.9,tt0317676,9,1.9,46935
1882034,185344,26,1120199,6.8,56,empty,66,6.5,tt0373283,78,3.8,13725
144257066,55046521,3464,156540630,3.8,19,1664,10,3.2,tt0312528,30,2.5,219301
438620983,66968785,3269,201061359,8.1,63,416,79,7.1,tt0325980,86,3.9,33123186
95454173,33140501,3002,112019900,5.8,30,1490,17,4,tt0311429,44,3.0,422213
44680516,17310135,3017,86169154,5.4,48,2002,41,5.2,tt0298814,34,2.7,100480
68774392,20263821,2808,28723051,5.4,38,4669,19,4.4,tt0283426,30,2.9,21619
144600285,54048483,3459,172338308,4.8,48,3053,43,5,tt0305357,40,3.0,462787
160505317,47992971,3344,54573797,4.1,57,3405,46,5.4,tt0338459,24,2.5,96309
56584052,16597427,3041,35903814,5.6,38,empty,41,5,tt0337711,38,3.0,17787
68350557,26617314,3152,122072968,6.7,59,3369,71,6.4,tt0327850,66,3.3,185537
96806123,23409509,2331,28723051,7.1,71,1244,77,7,tt0311289,76,3.3,211272
