Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
41774634,10948344,2460,122107606,4.1,36,empty,43,4.8,tt0131704,19,2.2,51853
122913256,36500829,2934,48200371,6.1,62,empty,75,6.3,tt0213203,56,2.8,58275
81623570,20640446,3218,152634508,6.9,51,2644,48,5.5,tt0138749,64,3.2,61858
73172053,15147018,2723,48200371,6.3,53,empty,62,5.9,tt0220099,62,3.2,57765
36555127,15065580,2734,120500927,6.6,48,3783,52,5.7,tt0120913,60,3.2,69159
18064891,446976,21,empty,6.6,55,empty,55,6.2,tt0233508,64,2.9,622
15470312,6801560,1823,8033395,5.9,20,empty,25,3.9,tt0259974,64,3.3,20792
221316924,62427274,3257,204851576,6.5,56,3655,65,6.2,tt0130623,47,3.0,70839
143470931,15765219,2801,160667903,7.3,70,1982,85,7.1,tt0120917,83,3.4,449331
171583544,28126783,2491,72300556,7.0,88,3266,97,8.1,tt0120630,64,3.0,547557
4424879,136137,4,empty,7.8,82,3770,80,7.4,tt0243017,87,4.0,60989
8276752,4108264,1722,114752650,4.7,40,empty,20,3.9,tt0166276,27,2.3,47234
443568593,7711378,2618,175954063,8.1,78,994,96,8,tt0198781,90,3.8,1252509
49162835,17455948,2649,209614840,6.4,49,2209,44,5.3,tt0173840,48,3.0,141471
128603695,503398,2,183604240,6.8,52,2745,49,5.5,tt0230011,52,2.9,364927
1530104,358684,19,empty,7.9,61,empty,64,6.3,tt0275277,90,3.9,52047
409517042,64793569,3587,91802120,7.9,84,1062,88,7.8,tt0126029,90,3.9,1377119
15376680,688269,26,29070671,8.6,94,487,97,8.6,tt0245429,96,4.2,333324
20803754,8065195,2305,107102473,6.2,57,4998,55,5.5,tt0181739,41,2.8,62473
56147341,20586649,2624,35190812,6.5,43,empty,61,5.8,tt0265632,55,3.2,9162
20887516,empty,empty,empty,5.2,N/A,empty,25,5.1,tt0278475,45,3.2,586
123811909,28389726,3139,45901060,6.0,65,empty,75,6.4,tt0268397,52,2.8,56929
17009438,5340751,2340,16395869,6.5,65,empty,63,6.1,tt0289408,57,3.1,10382
72176655,23287297,2605,29810671,5.8,49,empty,46,5.4,tt0280030,38,3.1,19375
34942763,14061954,2503,50678141,5.4,23,empty,12,3.1,tt0271263,49,3.1,289473
262911347,69030267,3316,87941480,7.6,60,1788,77,6.8,tt0268380,82,3.6,1133801
109129876,34600852,3317,119242685,7.0,52,3912,69,6.4,tt0166813,76,3.3,59282
96491350,22529641,3255,178864027,5.4,66,empty,81,7,tt0243585,41,2.7,179518
217311354,52556529,3191,119242685,7.2,73,1764,86,7.3,tt0275847,77,3.3,465923
59443187,8963840,3012,37263339,5.2,69,empty,80,6.7,tt0282120,50,2.8,20785
20397875,8505479,2527,4471600,5.9,47,empty,29,4.6,tt0314166,36,2.8,14513
38114956,9243312,940,20867469,6.6,58,empty,65,5.8,tt0298388,74,3.5,23600
56819965,18010486,3227,208674698,7.1,60,2892,69,6.5,tt0133240,70,3.2,67516
59060183,23966188,2904,134998341,8.2,90,489,99,8.7,tt0266543,86,3.8,33354194
122545818,419270,2,183827529,6.8,48,3794,38,5.5,tt0328880,64,3.3,188153
37754038,9872797,3086,86169154,6.7,48,4743,46,5.6,tt0165982,56,3.1,56207
30146801,13381166,2903,114892205,5.7,64,2364,57,6,tt0318155,50,2.9,63309
10056306,206464,6,13643449,7.8,91,empty,94,8.2,tt0286244,90,4.0,39951
68774392,20263821,2808,28723051,5.4,38,4669,19,4.4,tt0283426,30,2.9,21619
56584052,16597427,3041,35903814,5.6,38,empty,41,5,tt0337711,38,3.0,17787
33137225,8757310,2084,50265339,6.0,62,empty,71,6.2,tt0323642,65,3.4,9586
27559564,13227758,2411,27890499,4.5,15,empty,5,3.1,tt0403703,46,3.0,10929
69762997,19357081,3047,153397745,5.4,50,empty,54,5.7,tt0299172,28,2.8,32065
224186652,66385811,4016,104589371,6.0,48,2613,35,5.2,tt0307453,49,3.2,682154
9052349,5023420,2027,13945249,5.8,74,empty,76,6.5,tt0350194,47,3.0,1189
608669753,150661517,4163,209178743,7.2,75,1511,88,7.7,tt0298148,69,3.5,34231344
3948081,917297,471,97616,5.5,49,empty,53,5.7,tt0398872,34,3.2,1780
119115593,44650201,3212,41835748,7.0,66,3727,68,6.2,tt0345950,77,3.2,244392
105102129,30299695,3094,48808373,5.0,27,4849,15,3.5,tt0356634,37,2.9,460479
6568847,596838,36,33468599,8.2,80,1187,87,7.5,tt0347149,93,4.1,254173
364586128,98268859,3933,128296296,8.0,90,448,97,8.3,tt0317705,75,3.4,32601239
26273815,7990872,2014,47285491,5.6,45,empty,31,5,tt0361089,29,2.8,37172
10018917,empty,empty,27020280,5.3,N/A,empty,60,5.1,tt0339334,49,3.1,5662
182902316,54107812,3654,202652106,5.8,48,3669,36,5.5,tt0371606,47,3.1,470037
68974383,22804309,2394,23642745,6.5,45,4663,46,5.4,tt0443536,56,3.1,427035
75749394,21651333,3645,40530421,7.5,87,empty,95,8.1,tt0312004,79,3.4,384741
72059857,520245,5,54040561,7.4,83,1638,83,7.2,tt0121164,77,3.5,552107
260930419,empty,empty,101326053,6.9,57,1988,55,6.1,tt0351283,66,3.4,988302
46117591,43054,6,empty,7.0,71,empty,88,7.2,tt0401623,77,3.7,1834
