Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
201716440,45209481,2848,83547309,7.3,73,1400,84,7.3,tt0195685,80,3.5,417990
185810156,33588960,1865,48200371,7.8,48,1014,73,6.3,tt0210945,93,3.9,577424
13812481,491232,14,9640074,7.0,77,empty,81,7,tt0183659,74,3.5,11995
11344561,400678,9,21690166,7.4,70,4927,75,6.6,tt0180073,83,3.6,45392
6783104,136937,8,empty,7.3,85,empty,73,6.8,tt0247196,84,3.8,22079
1647221,22605,2,empty,7.2,69,empty,86,7.1,tt0233687,72,3.6,1162
78429890,21432238,2092,51413729,7.2,56,3218,41,5.3,tt0203019,81,3.6,77072
4746780,2199069,750,70693877,5.3,34,empty,empty,empty,tt0141399,empty,empty,empty
80995679,19038935,2249,81091872,7.6,52,532,55,5.8,tt0221027,87,3.8,384249
261190796,3826765,524,88742049,8.2,72,434,75,7.2,tt0268978,93,3.9,489503
45566675,15919485,2770,73441696,6.4,43,3098,49,5.2,tt0200027,66,3.1,95395
1976987,35411,2,8415194,7.1,76,empty,79,7.1,tt0280778,74,3.6,9292
89023523,15631797,2446,163713780,6.8,65,2787,67,6.3,tt0248667,65,3.3,106967
9445650,33767,2,11995477,7.7,72,empty,85,7.5,tt0161860,88,4.0,6794
2170070,80153,14,empty,6.3,40,empty,52,5.4,tt0261066,68,3.2,954501
7222334,85322,2,10710247,6.5,38,empty,29,4.6,tt0250371,72,3.6,10072
9189778,131691,9,8943201,7.5,80,empty,88,7.6,tt0252444,86,3.8,23558
38420085,307043,5,17886402,7.4,61,2504,76,6.9,tt0120679,86,3.7,53572
28594418,10991267,752,4471600,5.4,40,empty,39,5,tt0327036,69,3.8,249
31417682,313031,15,18631669,7.3,62,empty,79,7,tt0168786,86,3.6,47080
48550519,3660924,773,52168674,8.5,85,575,96,8.2,tt0253474,95,4.1,251670
245096215,44838230,3156,77507745,8.0,76,567,96,7.9,tt0264464,89,3.6,746202
3073578,184469,11,10433734,6.6,66,empty,72,6.7,tt0298744,60,3.2,5936
2138075,132787,4,empty,7.4,75,empty,92,7.7,tt0303353,79,3.7,4633
43961869,1581122,47,718076,5.7,63,3808,72,6.6,tt0374102,32,2.4,55667
49503044,124702,4,6462686,7.3,74,1102,29,4.5,tt0340855,75,3.4,36747
4477902,93571,3,empty,7.8,90,empty,97,8.4,tt0342172,89,3.9,9538
6023142,59527,3,empty,8.2,87,empty,98,8.4,tt0317910,93,4.2,14951
1870218,84646,3,13370580,6.3,56,empty,37,5.3,tt0325055,56,3.3,8379
8622066,229360,6,empty,7.5,90,empty,94,8.3,tt0305206,86,3.7,44330
3947956,54471,2,empty,7.4,81,empty,93,7.5,tt0373175,83,3.8,3850
75078444,19106177,3074,50265339,6.9,38,empty,36,5,tt0316465,79,3.6,170877
2256919,877885,472,24414593,6.9,55,empty,53,5.9,tt0312549,70,3.5,8859
8317230,1304667,400,33778308,6.6,47,empty,44,5.2,tt0309820,74,3.7,8646
5842393,141264,14,18555091,7.7,52,empty,36,5,tt0377992,88,4.3,1211
16708718,128495,7,empty,7.0,72,1713,72,6.8,tt0335119,68,3.4,62490
11069236,6653475,801,empty,8.0,66,empty,78,6.8,tt0343121,89,4.0,11792
18599196,557811,16,27890499,6.6,53,empty,48,5.7,tt0352277,66,3.3,10386
47828288,19086984,2445,216151368,5.5,39,1099,16,3.9,tt0346491,34,2.6,237451
8811597,63121,6,32074074,6.7,46,empty,42,5.2,tt0363473,64,3.3,17881
14244580,235727,5,15339774,7.1,79,empty,90,7.6,tt0362269,75,3.4,34033
8205649,4237328,1601,54386473,5.3,36,empty,12,4.2,tt0312329,28,2.8,9997
23367178,222871,3,empty,7.8,75,4975,84,7.5,tt0318462,92,4.0,68429
72064316,307526,8,34863123,7.8,67,2628,83,7.5,tt0308644,87,3.7,464942
2909460,77648,23,15618679,8.1,74,4807,84,7.6,tt0369702,92,4.1,36335
105016089,27945903,2006,55780998,7.7,73,2870,81,7.3,tt0350258,87,3.8,214154
7682493,25373,1,21085217,8.3,82,1182,91,8.1,tt0363163,94,4.2,69653
89776857,27022514,2605,39046698,7.5,68,4558,80,7,tt0349825,90,3.8,56724
3756949,1719863,1332,empty,6.7,45,empty,26,4.6,tt0375104,62,3.4,3400
143069243,1196531,40,153397745,7.5,77,684,87,7.8,tt0338751,79,3.4,206409
4288233,363599,29,empty,7.8,87,4001,92,8,tt0427312,85,3.7,53343
83282343,24750854,2812,118889235,8.0,69,2256,80,7.4,tt0352248,91,3.8,281564
17174216,77007,3,40530421,6.7,69,1493,62,6.7,tt0402399,57,2.9,147855
14872546,7597255,1865,33775351,7.1,56,2818,55,6,tt0355702,81,3.6,68164
41856914,16240279,1652,54040561,5.0,45,4367,16,4.4,tt0430308,70,3.2,297926
6928167,541462,114,33775351,7.9,68,empty,82,6.9,tt0412080,89,3.8,35635
13738734,6309397,2223,67550702,6.0,36,2438,19,3.9,tt0421054,56,3.1,246945
42558587,569379,11,10132605,7.5,80,4331,93,8.1,tt0433383,83,3.6,142264
38838370,438886,12,9457098,7.4,88,3580,90,8.2,tt0379725,81,3.6,115317
161472390,30191571,2961,37828393,7.9,72,1382,82,7.2,tt0358273,90,3.9,544849
56380152,22380598,2222,empty,7.2,58,empty,55,5.9,tt0385726,81,3.6,338508
74601752,161319,3,17232738,7.3,91,3936,97,8.4,tt0436697,76,3.5,174975
20135260,9799351,1289,empty,6.9,53,2426,55,5.5,tt0426883,67,3.3,422316
5674567,2679968,1306,18509923,6.7,62,empty,76,6.7,tt0437232,71,3.4,28934
76405757,22517483,2917,52885496,7.1,63,3548,71,6.5,tt0445990,73,3.6,87319
28040363,5360661,791,empty,7.5,65,empty,70,6.6,tt0454776,85,4.0,54171
