Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
21780121,9189604,2009,56233766,5.7,45,3301,55,5.5,tt0192255,55,2.8,52284
8533356,52912,1,empty,7.4,68,empty,71,6.3,tt0237539,86,3.9,5579
4917985,2264506,646,22493506,5.4,23,empty,16,3.1,tt0210567,55,3.0,10404
1669940,232303,40,empty,7.1,57,empty,52,5.5,tt0197096,64,3.4,1506
16089659,7288900,2497,101220779,5.0,31,empty,22,4,tt0219952,18,2.5,9760
20917760,6510136,1510,61053803,5.6,37,empty,20,3.7,tt0198386,36,2.7,4106
2885206,empty,empty,empty,6.3,N/A,empty,empty,empty,tt0211103,51,3.4,326
96414082,23026633,2664,20886827,4.9,34,empty,28,4.2,tt0184907,26,2.5,49509
24397808,11628214,2078,72300556,3.7,14,4861,10,3.1,tt0190374,19,2.2,47630
107553599,31946163,2704,136567717,4.8,35,empty,31,4.4,tt0211181,32,2.9,406385
1937021,20886,1,empty,7.5,81,empty,59,6.7,tt0251739,67,3.6,273
171605639,22258426,2668,72300556,6.2,43,2408,42,5.1,tt0212346,69,3.2,975024
40435725,11481248,1459,56233766,6.3,69,empty,84,7.2,tt0171580,44,2.7,35204
2621841,1129670,296,16066790,5.7,42,empty,24,4.5,tt0171356,36,2.9,5274
4746780,2199069,750,70693877,5.3,34,empty,empty,empty,tt0141399,empty,empty,empty
6973586,147478,9,empty,6.7,70,empty,80,6.8,tt0234853,68,3.4,6217
8063038,3226518,1085,12853432,5.3,41,empty,34,4.7,tt0206420,43,3.0,8037
75079105,22245939,2087,20886827,5.5,30,2255,18,3.6,tt0242423,47,2.8,367229
25564405,6675642,2106,30526901,3.6,19,empty,19,3.9,tt0205461,38,2.8,3150
1734773,21155,2,empty,6.8,47,empty,37,4.5,tt0204640,85,4.1,3387
19466132,461843,30,16066790,6.9,62,empty,63,6,tt0195234,83,3.8,11472
11290687,5369657,1759,16066790,5.7,7,empty,13,3.5,tt0156323,48,2.9,7092
3619799,113450,6,empty,7.3,74,empty,96,7.4,tt0205873,82,3.6,8339
2120996,45923,5,empty,7.8,69,empty,90,7.3,tt0234288,90,4.0,2279
11119330,932135,72,empty,6.8,75,4365,86,7.3,tt0120202,70,3.3,8310
29918370,664258,13,9640074,7.5,78,2563,95,7.5,tt0218839,89,3.7,56004
2919001,36057,2,empty,6.5,57,empty,73,6.5,tt0180837,60,3.2,1435
198116290,68314112,3242,134961038,4.3,38,empty,26,4.4,tt0144528,33,2.6,231540
252280374,68037505,2912,30526901,6.2,48,1089,53,5.5,tt0175142,43,3.0,32581412
3511021,306425,17,16066790,6.5,50,empty,48,5.5,tt0215545,74,3.6,8222
1687976,117016,7,401669,6.6,76,empty,85,7,tt0200530,65,3.2,4251
15779733,5920136,678,5462708,4.0,11,empty,0,2.3,tt0199290,65,3.2,7223
5509374,100067,33,empty,7.5,54,3773,55,5.6,tt0213847,85,3.8,29249
2051703,204274,9,16066790,6.2,57,empty,53,5.6,tt0173716,67,3.4,9577
1717790,111196,6,3277625,7.5,84,empty,52,5.5,tt0203166,33,2.7,21806
4630548,129630,6,241001,6.2,71,empty,78,6.7,tt0271219,56,3.1,5119
