Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
1962174,65430,5,2410018,7.9,80,empty,92,7.5,tt0247586,94,4.2,13718
163307690,40706897,3006,144601113,6.5,35,2233,24,4.4,tt0187078,77,3.5,954810
72274374,14501216,2621,49807050,7.3,67,2433,70,6.5,tt0186151,81,3.4,135576
24047457,10664862,2315,102184786,5.1,24,empty,12,3.6,tt0208988,27,2.5,29781
89931185,28943524,2641,40166975,6.1,52,4205,33,4.8,tt0165929,61,3.1,192066
2312472,105372,9,10684415,6.9,46,empty,46,5.2,tt0203540,67,3.5,5433
16089659,7288900,2497,101220779,5.0,31,empty,22,4,tt0219952,18,2.5,9760
20917760,6510136,1510,61053803,5.6,37,empty,20,3.7,tt0198386,36,2.7,4106
9716963,3455932,1515,13656771,6.7,49,empty,48,5.4,tt0202677,70,3.3,31261
11290687,5369657,1759,16066790,5.7,7,empty,13,3.5,tt0156323,48,2.9,7092
27214217,10801516,1335,11246753,7.0,63,3149,67,6.4,tt0181984,78,3.4,46640
47194875,15124768,2524,104434137,5.1,17,empty,3,3,tt0163983,42,2.8,35222
24213110,7970758,1236,11246753,7.6,64,442,67,6.2,tt0144084,85,3.6,302332
6722402,147191,3,20565491,8.0,61,3267,68,6.7,tt0168629,91,4.1,57322
11160082,273707,9,empty,7.3,79,3018,86,7.2,tt0203119,85,3.7,38283
199400879,296793,4,77120593,7.6,86,1873,92,8,tt0181865,85,3.6,189809
92002445,25571382,2910,66355844,6.7,47,3593,45,5.2,tt0190138,64,3.2,211422
113004577,34888644,2337,73907235,5.9,50,2190,68,6.1,tt0162650,41,2.9,64522
27427987,6235076,865,40166975,6.7,69,empty,67,6.3,tt0196216,57,3.2,15587
48520268,16727124,2630,96400742,5.7,30,empty,16,3.9,tt0160009,36,2.9,26570
1418231,92125,8,38560296,6.4,58,empty,64,6,tt0138946,52,3.2,8900
24786545,9322319,1981,59447124,5.6,25,empty,29,4.4,tt0186045,46,2.7,15215
2051703,204274,9,16066790,6.2,57,empty,53,5.6,tt0173716,67,3.4,9577
40435725,11481248,1459,56233766,6.3,69,empty,84,7.2,tt0171580,44,2.7,35204
2621841,1129670,296,16066790,5.7,42,empty,24,4.5,tt0171356,36,2.9,5274
73114530,313469,5,41773654,7.8,69,1391,77,7.1,tt0190590,89,3.7,255463
56245302,17729518,2412,56233766,5.6,24,empty,9,3.1,tt0192614,43,2.8,56901
188880284,41229056,2802,48200371,5.1,33,empty,30,4.4,tt0208003,57,3.2,475534
46477561,14560199,2742,48200371,5.3,22,empty,10,3.4,tt0204626,29,2.7,21524
19466132,461843,30,16066790,6.9,62,empty,63,6,tt0195234,83,3.8,11472
24622560,8813584,2352,81940630,5.7,39,empty,26,4.2,tt0211938,41,3.0,11889
171605639,22258426,2668,72300556,6.2,43,2408,42,5.1,tt0212346,69,3.2,975024
9092100,4038435,1538,44987012,6.3,49,empty,46,5.3,tt0149367,35,2.9,1976
1999794,926764,661,20886827,4.4,18,empty,60,4.9,tt0216772,58,3.5,10803
37533273,13059659,2204,67480519,5.7,37,empty,25,4.2,tt0184858,27,2.5,42997
48349964,12861727,1444,12821298,8.3,55,415,73,6.4,tt0208092,93,4.0,393086
252595773,88746824,3230,133113074,6.8,57,1344,39,5.1,tt0212985,62,3.4,402518
51038116,14864449,2656,53551236,5.4,24,empty,23,3.7,tt0250720,44,2.8,36788
345999825,103136961,3118,137703180,6.6,48,3312,52,5.5,tt0266915,74,3.3,893506
43964879,13168100,1533,24480565,6.4,55,4645,71,6.2,tt0255819,87,3.8,62498
11467383,1016561,39,30600706,7.6,73,3065,81,7.1,tt0243133,85,3.7,40849
20049319,6439390,1497,16830388,7.3,64,3347,73,6.8,tt0264616,79,3.5,52572
1388236,65806,3,empty,7.0,79,empty,86,7.2,tt0242994,68,3.5,1285
28287773,10938533,1780,1836042,7.1,48,1059,35,5,tt0247745,90,3.7,262259
39153786,11803246,2123,32360247,4.8,37,empty,11,3.6,tt0231402,25,2.4,171756
20314207,9013707,2150,41310954,5.6,48,empty,28,4.5,tt0186589,42,2.7,54622
16777157,8394093,2433,45901060,6.1,31,empty,24,4,tt0218817,50,2.8,46231
30172189,8821184,1275,53551236,6.8,71,empty,78,6.8,tt0237572,59,3.2,21834
11469943,3762838,903,50491166,6.8,52,2780,45,5.2,tt0256524,54,3.1,16442
11181124,4320128,847,24480565,4.1,42,empty,21,3.8,tt0166110,39,2.7,18166
80995679,19038935,2249,81091872,7.6,52,532,55,5.8,tt0221027,87,3.8,384249
29608584,11340395,2467,33660777,5.9,22,empty,18,3.4,tt0239948,51,3.0,61822
13497638,217038,6,4590106,6.7,78,empty,82,7.1,tt0250323,59,3.3,5642
221142012,61337609,2628,58141342,6.7,58,636,53,5.4,tt0232500,74,3.4,1042603
113312424,25570573,2530,91802120,6.3,42,1626,31,4.6,tt0164334,53,3.1,173963
17798013,7675960,1806,empty,6.1,30,empty,20,4.3,tt0211465,51,3.1,39499
1747038,126273,12,1071024,7.2,73,empty,83,7,tt0242587,78,3.7,7426
24080663,10955850,2545,94862190,5.9,21,empty,14,3.5,tt0233142,46,2.9,73023
108739433,29099446,2129,104042402,6.8,71,2791,73,6.5,tt0227445,67,3.3,59811
37295278,16100797,2337,91802120,6.1,34,empty,33,4.4,tt0179626,38,2.9,50556
26457953,8228465,2014,38250883,5.3,40,empty,29,4.3,tt0273799,38,2.7,19852
106755108,27763458,2678,156063604,6.5,32,2421,26,4.3,tt0244244,60,3.1,244325
79192485,28283599,2830,76501766,5.5,39,empty,32,4.4,tt0242445,45,2.9,51400
116682079,34503502,2712,68851590,7.7,70,1080,72,6.5,tt0139654,89,3.7,299771
7962314,4311209,1857,42840989,6.3,23,empty,25,4.3,tt0227984,59,3.1,36814
63532071,19968032,3207,114752650,6.6,60,empty,64,6.1,tt0219965,58,3.1,58673
84148081,26149029,2802,76501766,6.3,38,4143,24,4.4,tt0260866,49,3.0,52738
54956465,143780,4,2601060,7.5,86,empty,93,7.9,tt0247425,81,3.7,19954
1530104,358684,19,empty,7.9,61,empty,64,6.3,tt0275277,90,3.9,52047
36687802,13805773,2062,16830388,4.6,20,empty,6,2.8,tt0250310,38,2.4,47167
69168478,21471157,2910,114752650,5.5,29,empty,24,4,tt0249478,37,2.9,42524
61712481,18056441,2750,53551236,6.2,47,3966,53,5.3,tt0125022,51,2.9,71151
49106970,19965605,2675,91802120,5.5,37,empty,10,3.5,tt0161083,35,2.7,16986
2079521,41433,1,12827813,7.4,82,empty,97,7.8,tt0274117,82,3.8,5683
27466323,8780028,1591,45901060,5.8,34,3886,21,4.3,tt0221218,39,2.8,58107
56356515,20355631,2025,38250883,6.6,58,empty,51,5.2,tt0271027,68,3.3,66171
7527614,3627421,1000,19890459,6.1,51,empty,58,5.7,tt0188453,40,2.8,22208
280617310,58306314,3075,130053003,7.8,74,693,82,6.9,tt0240772,80,3.6,32600449
3098685,639704,105,9180212,5.8,45,empty,38,4.7,tt0234354,37,2.8,7424
8122509,180548,3,7650176,6.4,62,empty,71,6.3,tt0227005,67,3.2,18361
102219541,30767218,2951,87212014,6.1,43,4896,56,5.5,tt0236493,44,2.9,132156
9624951,3855751,1818,27540636,6.1,46,empty,33,4.7,tt0203755,39,2.7,16116
61921544,20875742,2717,62602409,6.3,48,4484,31,5,tt0257756,50,3.1,38753
37983163,14916203,1505,20867469,5.7,34,empty,30,4.3,tt0278295,77,3.4,34452
12454622,6359306,2164,81979345,6.4,38,empty,42,5.3,tt0266452,66,3.0,59801
3543516,158208,13,empty,7.0,64,empty,64,6.4,tt0118926,77,3.6,4811
58394953,25656758,2623,56640275,5.6,25,empty,22,4,tt0278435,67,3.1,123296
37705203,13575505,2573,31301204,6.8,51,1815,54,5.6,tt0293662,73,3.5,311685
4534483,1980604,268,empty,7.1,49,empty,51,5.8,tt0259484,94,4.3,20534
155096745,32910207,1797,119242685,7.7,72,1284,81,7.5,tt0257044,86,3.6,187901
47879290,16447176,2635,89432013,5.9,37,empty,27,4.8,tt0289848,39,2.9,190133
56563907,22375040,2917,126695352,5.5,32,empty,25,4.7,tt0284490,25,2.5,49079
5243394,196124,9,37263339,6.6,68,empty,empty,empty,tt0281820,empty,N,5
5663042,537742,13,372633,7.2,67,empty,81,7,tt0280477,79,3.7,8124
115784107,14155403,1504,149053356,7.5,72,830,75,7.1,tt0217505,81,3.5,292595
