Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
1937021,20886,1,empty,7.5,81,empty,59,6.7,tt0251739,67,3.6,273
5103856,empty,empty,empty,6.5,N/A,empty,empty,empty,tt0268575,empty,N,4
1647221,22605,2,empty,7.2,69,empty,86,7.1,tt0233687,72,3.6,1162
61323760,17759960,847,20886827,6.6,76,empty,86,6.9,tt0236388,79,3.7,17827
1903476,797275,322,empty,5.6,29,empty,31,4.9,tt0259207,84,3.9,268
29952221,928887,41,empty,7.5,57,empty,67,6.2,tt0245280,82,3.8,3118
3940486,empty,empty,empty,7.9,85,empty,95,7.7,tt0264578,86,3.8,1334
1959937,24661,1,empty,7.1,75,empty,92,7.6,tt0256408,73,3.5,2572
1978787,158136,20,empty,7.7,76,empty,92,7.5,tt0275309,89,3.9,13753
16466512,50687,1,41886736,8.0,82,empty,96,8.2,tt0301727,87,4.0,6222
1519386,empty,empty,empty,8.2,56,empty,75,6.4,tt0238015,empty,N,271
2385669,170579,23,empty,7.8,76,empty,92,7.5,tt0314725,90,4.0,3176
28594418,10991267,752,4471600,5.4,40,empty,39,5,tt0327036,69,3.8,249
16582519,4118995,2,7452667,6.6,42,4639,48,5,tt0322802,75,3.4,445153
31666255,311742,8,5962134,8.0,72,empty,96,8.2,tt0310793,82,3.5,202670
4090401,89765,4,empty,7.0,62,empty,76,6.8,tt0328962,69,3.4,6657
8538418,26096,1,empty,7.7,80,empty,98,8.3,tt0334405,83,3.7,10951
15034287,empty,empty,4471600,6.9,N/A,empty,93,7.3,tt0292631,81,3.7,837
6256030,914695,47,empty,6.5,60,empty,74,6.8,tt0297445,38,3.1,57
16386967,empty,empty,empty,7.3,N/A,empty,empty,empty,tt0353164,empty,empty,empty
2138075,132787,4,empty,7.4,75,empty,92,7.7,tt0303353,79,3.7,4633
138938673,20485,2,empty,7.5,69,empty,87,6.9,tt0290296,75,3.6,2762
1683666,17340,1,empty,7.6,85,empty,96,7.7,tt0372279,85,3.8,4140
4477902,93571,3,empty,7.8,90,empty,97,8.4,tt0342172,89,3.9,9538
4392083,empty,empty,empty,7.9,80,empty,95,7.7,tt0424565,85,3.9,5219
6023142,59527,3,empty,8.2,87,empty,98,8.4,tt0317910,93,4.2,14951
2698962,41175,2,empty,8.2,73,empty,90,7.4,tt0379225,90,4.0,22690
24473060,2022783,97,18669983,6.9,67,empty,80,7.1,tt0297144,66,3.3,6446
3947956,54471,2,empty,7.4,81,empty,93,7.5,tt0373175,83,3.8,3850
5274199,195295,5,empty,7.5,72,empty,82,6.9,tt0308508,92,4.1,5739
6579333,139268,5,empty,8.1,82,empty,93,8.1,tt0379557,92,4.1,10882
5332437,3028552,2261,11489220,2.7,34,empty,35,4.2,tt0360916,28,2.2,4932
