Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
5518163,2589698,802,28920222,6.5,32,empty,33,4.8,tt0188160,76,3.8,1375
152633131,48731813,2708,120500927,7.2,62,1167,68,6.2,tt0217869,77,3.4,288019
4917985,2264506,646,22493506,5.4,23,empty,16,3.1,tt0210567,55,3.0,10404
1669940,232303,40,empty,7.1,57,empty,52,5.5,tt0197096,64,3.4,1506
10512812,3874418,2112,80333951,5.6,33,empty,10,3.7,tt0167203,56,3.1,5506
201716440,45209481,2848,83547309,7.3,73,1400,84,7.3,tt0195685,80,3.5,417990
2120996,45923,5,empty,7.8,69,empty,90,7.3,tt0234288,90,4.0,2279
28605752,8618065,1516,32133580,7.0,59,empty,76,6.7,tt0208874,73,3.5,8163
4901871,67427,7,2892022,7.3,63,empty,74,6.3,tt0210299,78,3.6,2451
1962174,65430,5,2410018,7.9,80,empty,92,7.5,tt0247586,94,4.2,13718
24947106,2096669,1483,91580705,5.8,55,4056,32,4.9,tt0149624,42,3.0,11894
26959489,12780755,1970,80333951,4.8,16,empty,7,3,tt0160484,21,2.6,10720
2520476,100020,4,3213358,6.0,70,empty,56,5.8,tt0171359,47,3.0,10232
40435725,11481248,1459,56233766,6.3,69,empty,84,7.2,tt0171580,44,2.7,35204
44089075,13077049,1237,32133580,7.2,70,4835,82,6.7,tt0199725,95,3.9,186481
4227921,142326,3,482003,6.6,38,empty,50,5.6,tt0238247,69,3.4,2760
6973586,147478,9,empty,6.7,70,empty,80,6.8,tt0234853,68,3.4,6217
25564405,6675642,2106,30526901,3.6,19,empty,19,3.9,tt0205461,38,2.8,3150
60656842,17652592,2255,104434137,5.5,24,empty,20,4.1,tt0174480,54,2.9,33475
3619799,113450,6,empty,7.3,74,empty,96,7.4,tt0205873,82,3.6,8339
2448484,317955,28,1606679,6.8,70,empty,87,7.3,tt0210075,74,3.5,11782
8650093,98082,2,3213358,8.1,83,2986,92,7.8,tt0245712,94,4.2,103603
13812481,491232,14,9640074,7.0,77,empty,81,7,tt0183659,74,3.5,11995
11344561,400678,9,21690166,7.4,70,4927,75,6.6,tt0180073,83,3.6,45392
6783104,136937,8,empty,7.3,85,empty,73,6.8,tt0247196,84,3.8,22079
72274374,14501216,2621,49807050,7.3,67,2433,70,6.5,tt0186151,81,3.4,135576
24047457,10664862,2315,102184786,5.1,24,empty,12,3.6,tt0208988,27,2.5,29781
6785662,3468466,867,6426716,4.6,22,empty,16,3.2,tt0190524,56,3.2,19924
182085484,36011637,3061,176734693,7.1,63,875,61,6.1,tt0187393,81,3.6,422407
1650250,115888,10,361502,7.0,73,empty,71,6.8,tt0182508,71,3.5,1631
