Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
417786412,88499624,3127,197621521,6.0,46,2078,53,5.7,tt0170016,55,3.2,947688
21780121,9189604,2009,56233766,5.7,45,3301,55,5.5,tt0192255,55,2.8,52284
54787176,91485,5,9640074,7.0,61,empty,73,6.7,tt0156812,67,3.1,46307
2002302,325416,205,7230055,3.8,43,empty,20,4.2,tt0196106,39,2.7,7118
24400228,80072,7,empty,7.1,55,empty,45,5.6,tt0213749,70,3.6,1835
56605495,16899748,3040,133354359,3.6,27,4905,25,4,tt0158622,20,2.3,44022
96414082,23026633,2664,20886827,4.9,34,empty,28,4.2,tt0184907,26,2.5,49509
221316924,62427274,3257,204851576,6.5,56,3655,65,6.2,tt0130623,47,3.0,70839
111966865,20385103,2167,104434137,6.1,45,empty,49,5.2,tt0219854,48,3.0,60519
107553599,31946163,2704,136567717,4.8,35,empty,31,4.4,tt0211181,32,2.9,406385
35569556,11570561,1111,10710247,5.6,48,empty,28,4.3,tt0246002,73,3.4,7632
26457953,8228465,2014,38250883,5.3,40,empty,29,4.3,tt0273799,38,2.7,19852
165618329,34980079,2537,39780918,6.2,52,964,47,5.2,tt0247638,68,3.2,757264
485874794,138153960,3672,191254416,7.5,64,81,80,7.1,tt0241527,82,3.7,1152750
6665970,3529887,900,24480565,4.1,34,empty,19,3.5,tt0279286,47,2.8,8321
15376680,688269,26,29070671,8.6,94,487,97,8.6,tt0245429,96,4.2,333324
142867280,33213421,3040,91802120,5.2,47,4252,54,5.5,tt0239395,32,2.8,444244
56147341,20586649,2624,35190812,6.5,43,empty,61,5.8,tt0265632,55,3.2,9162
172818594,38307554,3049,107102473,4.6,49,empty,42,5,tt0240462,26,2.8,436751
71264310,17221647,2531,22358003,5.4,36,4748,42,4.9,tt0265298,44,2.9,399943
109129876,34600852,3317,119242685,7.0,52,3912,69,6.4,tt0166813,76,3.3,59282
359871752,890388,108,7452667,6.6,62,1298,76,6.7,tt0259446,73,3.2,764518
72176655,23287297,2605,29810671,5.8,49,empty,46,5.4,tt0280030,38,3.1,19375
207520808,43238435,3350,96884681,5.5,48,empty,55,5.6,tt0304669,42,2.9,202218
120957830,35337829,2302,52168674,5.1,29,empty,24,4,tt0281373,39,2.8,129688
390475994,131699801,3682,149053356,7.4,63,341,82,7.2,tt0295297,80,3.7,1147979
112684444,23880857,2511,29810671,7.0,72,3582,83,7.2,tt0265662,70,3.3,60963
5487862,1716294,1195,66775903,4.2,11,empty,0,2.4,tt0255477,30,2.6,8920
30962549,204826,9,6528537,7.6,79,empty,90,7.7,tt0298228,88,3.8,49653
25322668,7914248,2553,52168674,4.0,37,empty,30,4.3,tt0276033,32,2.7,10666
60163196,18713127,2565,23848537,3.3,12,empty,1,2.3,tt0295427,31,2.3,58882
59443187,8963840,3012,37263339,5.2,69,empty,80,6.7,tt0282120,50,2.8,20785
76661752,18153834,2410,44716006,5.1,47,4091,57,5.5,tt0308506,51,2.8,67871
228481180,80720310,3447,125204819,4.9,35,782,30,4.4,tt0267913,37,2.7,408063
56819965,18010486,3227,208674698,7.1,60,2892,69,6.5,tt0133240,70,3.2,67516
28555752,7853269,1185,22358003,6.7,66,3079,61,6.3,tt0283084,70,3.3,80488
122545818,419270,2,183827529,6.8,48,3794,38,5.5,tt0328880,64,3.3,188153
9696024,904774,51,empty,5.7,51,empty,45,5.6,tt0318850,68,3.5,6237
51687856,16422352,2964,28723051,5.8,41,4076,35,4.8,tt0286788,62,3.2,453460
61284407,24901097,2825,24414593,5.3,56,4636,40,5.4,tt0306841,48,2.7,393119
199071633,39576985,3298,57446102,5.8,46,2068,empty,empty,tt0349205,66,3.3,59789
1596448,187205,15,718076,6.0,N/A,empty,64,5.7,tt0341540,73,3.7,1699
24473060,2022783,97,18669983,6.9,67,empty,80,7.1,tt0297144,66,3.3,6446
2502972,31260,2,empty,7.5,81,empty,94,7.6,tt0373861,87,4.0,5717
144257066,55046521,3464,156540630,3.8,19,1664,10,3.2,tt0312528,30,2.5,219301
69535419,15998014,2813,143615257,6.9,64,1367,77,6.8,tt0316396,74,3.3,426671
59467444,17434650,3013,43084577,7.6,52,3164,59,6.1,tt0327137,84,3.7,65409
158307574,31886905,2954,37339966,6.1,70,2333,88,7,tt0322330,57,2.9,931792
108886206,34867500,3122,129253731,4.9,34,4330,13,4.2,tt0338094,30,2.6,134740
68774392,20263821,2808,28723051,5.4,38,4669,19,4.4,tt0283426,30,2.9,21619
149573539,39671675,3370,86169154,5.5,39,2867,27,4.5,tt0317303,48,3.2,472300
53950837,18823683,3225,24414593,5.1,49,empty,44,5.3,tt0326900,39,3.0,11871
249002150,44683734,3337,47393034,6.9,64,1947,84,7,tt0319343,78,3.2,907162
33137225,8757310,2084,50265339,6.0,62,empty,71,6.2,tt0323642,65,3.4,9586
71722036,18998101,2625,27890499,5.9,25,1281,11,3.6,tt0356470,53,2.8,31659317
69762997,19357081,3047,153397745,5.4,50,empty,54,5.7,tt0299172,28,2.8,32065
67099412,13975245,2674,36257648,4.3,39,empty,25,4.4,tt0396592,43,2.7,60190
14519765,5609745,2521,20917874,5.9,33,empty,15,3.7,tt0361696,71,3.3,383344
39278025,13117428,2682,empty,5.9,47,4466,28,4.8,tt0337697,59,3.1,193719
12703176,4534794,1276,27890499,1.9,9,empty,0,2.2,tt0270846,20,2.0,7019
72064316,307526,8,34863123,7.8,67,2628,83,7.5,tt0308644,87,3.7,464942
9052349,5023420,2027,13945249,5.8,74,empty,76,6.5,tt0350194,47,3.0,1189
347736968,130649371,3855,181288244,7.8,82,305,91,7.9,tt0304141,86,3.8,1164904
132688262,32013346,3472,55780998,5.7,43,2022,25,4.5,tt0368933,59,3.2,478700
102888803,30081112,3393,83671497,5.2,22,empty,5,2.8,tt0388419,36,2.8,95212
19548958,8314305,3006,41835748,4.8,33,empty,11,3.5,tt0363282,47,3.0,83968
40902906,13039606,2503,20917874,4.6,33,4774,13,3.9,tt0361467,35,2.7,395487
117398623,41052487,3312,111561996,4.9,34,3056,21,4.2,tt0331632,38,2.7,206820
3948081,917297,471,97616,5.5,49,empty,53,5.7,tt0398872,34,3.2,1780
31953694,8602866,1931,48808373,6.3,53,2006,50,5.6,tt0327679,57,3.1,340362
165428475,41921869,3620,195233494,6.8,62,1023,72,6.7,tt0339291,63,3.2,484535
5278836,2108521,877,empty,4.5,49,empty,33,4.7,tt0315273,53,3.3,1772
105102129,30299695,3094,48808373,5.0,27,4849,15,3.5,tt0356634,37,2.9,460479
6568847,596838,36,33468599,8.2,80,1187,87,7.5,tt0347149,93,4.1,254173
26422942,8568184,2175,93181042,7.1,63,empty,78,6.7,tt0338512,75,3.5,32288
111552597,20725472,3175,81060842,5.4,34,3418,6,3.6,tt0452598,57,3.2,568110
394104096,88567497,empty,243182527,6.9,75,423,76,6.9,tt0363771,61,3.1,34104134
86393044,19767745,2905,47285491,6.2,62,1600,73,6.5,tt0405325,57,3.0,202817
12115954,647632,27,empty,6.5,71,empty,84,7,tt0417415,48,3.2,4097
72161526,23590202,empty,60795631,5.4,38,3008,6,3.3,tt0443295,51,3.2,397948
52929407,16998577,2655,67550702,3.5,38,2294,20,4.3,tt0424774,31,2.5,31818
44179629,12399921,2007,43232449,6.9,59,empty,64,6.3,tt0418647,78,3.6,90675
22981621,10148378,2966,113485179,2.2,20,4684,6,2.8,tt0362165,15,2.0,38515
63692354,19594634,1995,33775351,6.6,59,2247,73,6.6,tt0396752,63,3.2,494860
10868780,61265,2,empty,7.5,71,empty,84,7.1,tt0438205,83,3.8,8337
391811683,138256111,3858,202652106,7.7,81,161,88,7.5,tt0330373,74,3.4,34151239
32939524,9196988,2501,empty,6.0,55,2635,52,5.7,tt0396652,57,3.1,210792
75749394,21651333,3645,40530421,7.5,87,empty,95,8.1,tt0312004,79,3.4,384741
72059857,520245,5,54040561,7.4,83,1638,83,7.2,tt0121164,77,3.5,552107
278929110,75897874,empty,202652106,6.7,72,274,83,7.2,tt0367594,51,3.0,32494276
21950972,7161698,2087,33775351,5.5,27,empty,6,3.3,tt0380623,58,3.2,281712
111190510,25095374,2709,43232449,4.6,27,empty,11,3.3,tt0368578,45,3.1,401887
89169634,17170336,3521,67550702,4.8,47,4961,41,5.4,tt0400497,38,2.8,135785
44104591,17858680,3188,18914196,6.4,54,4081,54,5.8,tt0317132,63,3.3,42053
24428530,7843391,2529,27020280,6.4,64,empty,79,6.6,tt0407121,69,3.5,12926
71037527,27236341,3455,60795631,5.6,45,empty,41,5.1,tt0384642,43,3.0,70065
22708297,8110457,2464,44718564,5.1,36,empty,13,3.7,tt0376108,38,2.9,52352
52701356,13284980,2583,33775351,6.5,66,1463,77,6.7,tt0403508,78,3.4,271729
17338989,7483043,1912,36477379,3.1,31,empty,13,3.6,tt0373908,29,2.8,9581
261783625,54912903,3804,132213740,6.5,77,2858,75,6.9,tt0366548,70,3.6,616601
15127566,6085958,1509,empty,3.9,17,empty,4,2.6,tt0433412,44,3.0,229031
17217872,5293226,1870,empty,5.4,56,empty,59,6,tt0462346,47,3.0,48465
99188766,30726350,3020,132213740,5.1,38,1787,16,4.1,tt0449010,46,3.0,519275
97389976,29374225,3553,99160305,6.6,68,3087,74,6.8,tt0385880,63,3.2,198894
20005697,7539870,2247,113703816,6.0,39,empty,21,4.4,tt0344854,57,3.2,134344
27763178,10185152,2877,19832061,6.1,57,empty,54,5.7,tt0434215,82,3.7,97070
111717802,25787018,3458,15865648,4.6,32,empty,15,3.7,tt0452681,39,3.1,150596
37580711,9637029,2946,empty,5.0,37,empty,11,3.5,tt0455499,43,3.1,105392
10683023,4453219,3018,19832061,5.6,46,1991,26,4.7,tt0453494,55,3.2,76363
22010129,7688855,empty,34375572,5.1,43,empty,31,4.5,tt0488658,53,3.2,45436
94403301,21702577,3639,85938931,5.5,33,3489,23,4.2,tt0449089,46,3.0,305857
80799672,21564137,3501,66106870,4.4,43,empty,26,4.4,tt0393735,39,2.9,185007
24586091,9893116,2512,15865648,5.3,51,2908,51,5.4,tt0429591,61,3.0,296370
107877854,33011921,3066,52885496,7.3,64,4923,72,6.5,tt0397313,79,3.4,374139
46397659,15867309,3205,empty,4.9,28,empty,6,2.9,tt0790604,30,2.8,55610
106032766,37429179,3070,42308396,5.7,52,1554,40,5.1,tt0457510,54,2.9,416704
109084698,15148194,3566,empty,6.4,68,2292,78,7,tt0413895,62,3.3,379644
95989440,20917356,3311,67429007,5.6,42,empty,22,4.4,tt0414853,52,3.3,120089
15378104,5963379,empty,46274809,4.2,26,3001,3,3,tt0383060,32,2.9,11243
4546480,1640876,816,empty,7.4,49,empty,32,5.1,tt0482629,85,4.0,39979
49751807,10377858,3083,39664122,6.8,52,empty,38,5.3,tt0762121,75,3.5,82770
11066344,4714306,3141,56642441,4.8,38,2978,14,3.9,tt0484562,33,2.9,171345
17523936,empty,empty,empty,5.5,43,empty,38,4.9,tt0476995,62,3.4,94049
9423925,4250283,2020,33985465,6.8,48,empty,33,5,tt0415965,72,3.7,84498
90628998,23305813,empty,125872093,5.6,42,empty,21,4.2,tt0486583,45,3.0,371371
126236731,39262797,3604,220276162,5.4,37,3930,23,4.4,tt0413099,52,3.2,839298
40975406,12448473,1714,31468023,6.3,56,3171,51,5.5,tt0453451,49,2.9,442145
27026056,12618449,empty,empty,6.3,59,4418,53,5.8,tt0768212,54,3.1,258618
160873675,43350747,3730,106991279,7.1,75,1288,93,7.3,tt0461770,80,3.8,406648
12557901,5297270,1509,empty,2.8,21,2094,9,3,tt0804452,45,3.0,49147
62472784,empty,empty,empty,4.0,36,empty,8,3.3,tt0422774,50,3.2,208589
367552475,97057974,4,188808139,7.5,71,327,78,6.9,tt0373889,81,3.9,2330466
103558044,35919762,3139,21398255,7.2,74,956,85,7.2,tt0398808,70,3.4,467969
48630605,11542192,2540,88110465,7.7,66,639,76,6.7,tt0486655,86,3.9,467513
259857465,59194366,3940,188808139,8.0,96,511,96,8.4,tt0382932,87,3.9,1069643
50868458,17710793,2772,50348837,6.5,71,empty,74,6.7,tt0760329,62,3.5,48491
7312744,2874113,1307,25174418,4.3,32,empty,16,3.8,tt0841032,52,3.0,159635
40356550,12121589,3164,81816860,6.2,48,empty,37,5,tt0457419,55,3.2,328365
273553207,55770673,3475,75523255,5.2,39,2886,27,4.5,tt0952640,64,3.5,310371
88215592,32453893,3528,226569767,6.1,51,2077,43,5.6,tt0385752,51,3.2,350265
74097998,22204150,3528,125872093,6.8,64,4818,78,6.7,tt0423294,70,3.4,630905
16659507,4283022,2332,7552325,2.9,13,empty,1,2.3,tt0462244,38,2.8,160273
32239015,8599981,2612,25174418,5.9,53,4852,50,5.5,tt0479500,59,3.4,150334
114086667,28888867,3103,27691860,6.2,44,3732,29,4.6,tt0492956,69,3.5,406700
149565111,34585554,3121,94404069,6.7,81,1012,91,7.8,tt0427327,84,3.9,762860
14234791,6334486,3011,72367688,4.9,43,empty,20,4.1,tt0765476,35,3.0,159770
53175037,12879554,2707,empty,6.2,63,3251,65,6,tt1018785,65,3.4,188552
173839323,33471551,2976,62718662,6.3,51,917,54,5.5,tt0795421,66,3.6,436920
85814447,29840257,3847,108551532,6.6,62,1178,80,6.7,tt0416236,63,3.4,354770
122665715,25350571,2811,54275766,5.8,57,2378,61,6,tt0373051,51,3.2,255984
53004224,22387350,3606,144735376,6.1,37,3519,39,5.1,tt0811080,60,3.2,400980
18152277,4324996,927,41008356,7.7,86,3232,92,7.6,tt0876563,83,3.9,96533
23553996,9411836,2339,30153203,6.1,40,empty,36,4.8,tt0465502,37,3.0,82420
132666673,33108574,3681,96490250,6.1,33,1650,25,4.4,tt0960731,55,3.4,216174
17528595,2292274,452,30153203,4.6,36,empty,19,3.9,tt0486321,24,2.6,6924
21294434,265706,5,12061281,6.6,63,empty,79,6.7,tt0846308,68,3.3,52490
172661766,43863968,3480,72367688,7.1,53,1877,63,6,tt0822832,75,3.8,264453
20870146,9168237,2655,72367688,6.1,N/A,empty,38,5.1,tt0494238,45,3.2,166550
57897380,15933650,3513,44626740,6.0,55,3304,51,5.7,tt0410377,46,3.1,181107
109226259,50693787,3623,13267409,4.5,57,3396,65,5.9,tt0962726,71,3.5,353676
