Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
417786412,88499624,3127,197621521,6.0,46,2078,53,5.7,tt0170016,55,3.2,947688
63372033,25809537,2910,136567717,5.3,38,3739,22,3.9,tt0185431,56,3.0,459982
19271663,19002,3,16066790,6.7,62,3843,57,5.8,tt0219699,55,3.2,50755
42450571,21246542,3317,24100185,4.0,15,987,13,3.4,tt0229260,18,2.1,58015
8063038,3226518,1085,12853432,5.3,41,empty,34,4.7,tt0206420,43,3.0,8037
121728566,24267368,2388,96400742,6.7,42,2763,53,5.5,tt0218967,67,3.1,194329
249781313,47723121,2813,160667903,6.6,51,3120,46,5.5,tt0161081,59,3.1,278676
111966865,20385103,2167,104434137,6.1,45,empty,49,5.2,tt0219854,48,3.0,60519
6785662,3468466,867,6426716,4.6,22,empty,16,3.2,tt0190524,56,3.2,19924
60860995,21057980,2568,77120593,6.0,49,2962,49,5.5,tt0230030,42,2.7,370999
20567403,9998893,1543,40166975,4.6,21,empty,11,3.3,tt0144964,38,2.8,46306
53021013,13876191,2204,86760667,4.9,26,4129,17,3.5,tt0219653,40,2.8,69851
49317377,18503659,2061,128534322,6.7,47,2686,43,5.2,tt0146984,65,3.2,50914
293709158,54007781,3012,112467532,6.4,47,1598,54,5.7,tt0207201,54,3.1,628751
485874794,138153960,3672,191254416,7.5,64,81,80,7.1,tt0241527,82,3.7,1152750
9141430,2407440,314,33660777,4.1,35,empty,10,3,tt0263728,45,3.0,2009
4424879,136137,4,empty,7.8,82,3770,80,7.4,tt0243017,87,4.0,60989
8276752,4108264,1722,114752650,4.7,40,empty,20,3.9,tt0166276,27,2.3,47234
98185811,30642490,2521,74971731,5.4,32,empty,20,3.9,tt0231775,41,2.8,62447
51138074,16987902,2571,76501766,4.8,32,empty,14,3.4,tt0265087,34,2.6,169050
147605331,21558124,1678,26010600,7.6,74,1112,83,7.2,tt0230600,77,3.4,343269
309078827,104255131,3401,149943462,6.3,48,1212,47,5.2,tt0209163,63,3.3,747579
7308989,3476988,1590,53551236,5.8,38,empty,33,4.7,tt0189192,53,2.9,9453
108382035,34453787,2770,61201413,5.9,48,2781,51,5.5,tt0256380,45,3.0,620911
72057707,3920635,2449,73441696,6.4,44,3292,50,5.3,tt0035423,62,3.0,189617
200655234,73037373,3308,175954063,5.7,33,2126,19,3.9,tt0146316,47,3.1,555685
47668916,14963516,1266,30600706,6.2,29,3498,27,3.8,tt0278488,79,3.5,66933
153944288,38274626,2742,104042402,6.9,45,1908,42,5.3,tt0259711,72,3.0,297392
172818594,38307554,3049,107102473,4.6,49,empty,42,5,tt0240462,26,2.8,436751
44811110,15227328,2507,89432013,6.1,25,empty,7,3.6,tt0259288,62,3.1,54428
45218018,21996601,2511,52168674,5.2,30,2411,17,3.9,tt0238546,66,3.1,259594
64185329,23300439,2629,89432013,6.2,39,1553,40,5.2,tt0253556,49,3.0,131895
207520808,43238435,3350,96884681,5.5,48,empty,55,5.6,tt0304669,42,2.9,202218
134657291,53772302,3444,89432013,5.5,45,3256,41,4.9,tt0277296,38,2.8,292823
14429725,5684094,1920,empty,6.1,49,empty,51,5.8,tt0258153,35,2.8,5025
5487862,1716294,1195,66775903,4.2,11,empty,0,2.4,tt0255477,30,2.6,8920
52192742,11031656,2217,empty,5.5,29,2463,22,3.8,tt0302640,59,3.1,474952
76661752,18153834,2410,44716006,5.1,47,4091,57,5.5,tt0308506,51,2.8,67871
463072383,119284142,3161,171411359,6.7,54,1063,65,6.7,tt0121765,58,3.3,846486
390475994,131699801,3682,149053356,7.4,63,341,82,7.2,tt0295297,80,3.7,1147979
2040166,88296,5,2728689,6.4,64,empty,56,6,tt0322659,65,3.4,4724
94298059,31284632,3222,136434494,5.5,43,3419,24,4.5,tt0325703,45,3.0,420576
74637840,31241716,2915,31595356,7.0,42,278,31,4.7,tt0320691,79,3.6,495013
31751864,11649098,2648,58882255,5.2,38,empty,18,3.9,tt0288045,27,2.7,59243
308700555,122875391,3741,157976782,7.5,68,1749,86,7.5,tt0290334,85,3.7,974988
33060933,12427806,2955,74679933,5.5,40,empty,23,4.3,tt0245803,38,2.9,194400
348395648,123127169,3483,116328358,6.7,46,2492,48,5.7,tt0315327,57,3.3,33023544
69535419,15998014,2813,143615257,6.9,64,1367,77,6.8,tt0316396,74,3.3,426671
438620983,66968785,3269,201061359,8.1,63,416,79,7.1,tt0325980,86,3.9,33123186
95454173,33140501,3002,112019900,5.8,30,1490,17,4,tt0311429,44,3.0,422213
158307574,31886905,2954,37339966,6.1,70,2333,88,7,tt0322330,57,2.9,931792
108886206,34867500,3122,129253731,4.9,34,4330,13,4.2,tt0338094,30,2.6,134740
95155163,297825,6,100530679,8.0,58,1087,77,7.2,tt0319061,89,3.7,497201
249002150,44683734,3337,47393034,6.9,64,1947,84,7,tt0319343,78,3.2,907162
11839469,185224,11,4595688,7.0,69,empty,77,6.7,tt0318374,70,3.3,19110
23729501,12236287,2059,16734299,4.9,46,empty,32,4.4,tt0387575,39,2.6,139777
56063220,23328186,3117,139452495,3.3,27,3340,9,3.1,tt0327554,18,2.2,274299
78155092,29360660,3438,51597423,6.1,57,2080,64,6.2,tt0337563,71,3.3,653003
47589751,11400517,1353,27890499,8.3,89,362,93,8.4,tt0338013,94,4.1,568377
67099412,13975245,2674,36257648,4.3,39,empty,25,4.4,tt0396592,43,2.7,60190
5822391,7605,7,2091787,4.7,30,empty,27,4.2,tt0377744,37,2.8,8424
347736968,130649371,3855,181288244,7.8,82,305,91,7.9,tt0304141,86,3.8,1164904
82325926,32314545,3028,92038647,6.8,72,1505,81,6.8,tt0167190,65,3.2,457710
31953694,8602866,1931,48808373,6.3,53,2006,50,5.6,tt0327679,57,3.1,340362
2074323,148412,3,5857004,6.5,58,empty,58,5.9,tt0403358,72,3.3,102253
73069466,22397843,2912,90644122,5.9,38,2038,25,4.4,tt0359013,59,3.4,437690
394104096,88567497,empty,243182527,6.9,75,423,76,6.9,tt0363771,61,3.1,34104134
22981621,10148378,2966,113485179,2.2,20,4684,6,2.8,tt0362165,15,2.0,38515
72161526,23590202,empty,60795631,5.4,38,3008,6,3.3,tt0443295,51,3.2,397948
391811683,138256111,3858,202652106,7.7,81,161,88,7.5,tt0330373,74,3.4,34151239
63692354,19594634,1995,33775351,6.6,59,2247,73,6.6,tt0396752,63,3.2,494860
3249756,2094071,985,33775351,2.9,18,4063,4,2.3,tt0383222,16,2.5,136026
65278472,22168408,3508,78358814,6.7,47,4159,56,5.7,tt0425123,75,3.6,541219
102644883,40218469,3006,135101404,6.9,50,1084,46,5.5,tt0360486,72,3.5,467293
513740050,146498343,3661,152664586,7.6,68,785,79,7.3,tt0121766,65,3.1,33676683
32975475,19984652,3203,58093603,4.8,34,3764,10,3.8,tt0357277,30,2.6,256954
84103886,27197439,3174,114836193,4.8,34,empty,25,4.6,tt0374536,28,2.5,215239
24428530,7843391,2529,27020280,6.4,64,empty,79,6.6,tt0407121,69,3.5,12926
53067654,17731307,2264,50241221,7.6,67,2412,72,6.8,tt0420223,85,3.6,401234
22905692,7525982,2541,37019847,5.3,29,4477,13,3.7,tt0397078,48,3.0,353640
278461888,93720107,empty,85938931,7.7,52,273,empty,empty,tt0416449,empty,empty,empty
82394115,35508883,3207,66106870,6.8,36,697,16,3.8,tt0401855,72,3.6,566566
49751807,10377858,3083,39664122,6.8,52,empty,38,5.3,tt0762121,75,3.5,82770
72196884,21189229,2723,33053435,5.5,43,4627,27,4.7,tt0466909,40,3.0,340268
49742964,1030509,17,19990717,8.2,98,432,95,8.6,tt0457430,91,4.1,633569
13236279,5026956,1196,19832061,6.8,48,1974,53,5.6,tt0472160,73,3.6,156770
