Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
3619799,113450,6,empty,7.3,74,empty,96,7.4,tt0205873,82,3.6,8339
182085484,36011637,3061,176734693,7.1,63,875,61,6.1,tt0187393,81,3.6,422407
55537666,74980,8,128534322,7.3,67,empty,83,7.2,tt0146309,80,3.5,29863
3940486,empty,empty,empty,7.9,85,empty,95,7.7,tt0264578,86,3.8,1334
166221118,419760,4,140763250,7.7,74,457,76,6.9,tt0265086,88,3.7,471913
78638891,21130194,1509,104042402,7.6,53,2162,54,5.7,tt0215750,82,3.6,223247
303772993,115024467,3214,214204946,6.1,44,936,25,4.5,tt0213149,67,3.3,904675
116440774,30127473,3143,111790017,7.1,65,1858,63,6.4,tt0277434,84,3.6,202778
52420093,19046722,2828,149053356,6.7,58,4984,60,6.1,tt0267626,52,3.0,45632
159571737,34857367,2908,201061359,7.7,55,800,66,6.4,tt0325710,83,3.7,390894
1683666,17340,1,empty,7.6,85,empty,96,7.7,tt0372279,85,3.8,4140
18484100,6714366,1533,80424543,6.3,30,empty,8,3.5,tt0279111,64,3.4,9263
6023142,59527,3,empty,8.2,87,empty,98,8.4,tt0317910,93,4.2,14951
2698962,41175,2,empty,8.2,73,empty,90,7.4,tt0379225,90,4.0,22690
8317230,1304667,400,33778308,6.6,47,empty,44,5.2,tt0309820,74,3.7,8646
172737349,29950581,1987,124945273,7.3,72,4795,77,7.1,tt0329575,76,3.3,118166
5842393,141264,14,18555091,7.7,52,empty,36,5,tt0377992,88,4.3,1211
137343024,20930793,2163,113456053,7.2,73,1790,71,6.7,tt0159365,77,3.3,209533
3170988,111359,8,8616915,7.2,73,empty,91,7.7,tt0323944,79,3.5,22596
3174451,187424,26,empty,7.9,80,empty,93,7.5,tt0389326,94,4.1,6658
31246231,12724623,2609,149214170,6.0,47,4821,29,5,tt0318974,45,3.0,19385
89776857,27022514,2605,39046698,7.5,68,4558,80,7,tt0349825,90,3.8,56724
32733544,139579,7,24404186,8.1,79,2688,90,8,tt0395169,94,4.0,240752
7682493,25373,1,21085217,8.3,82,1182,91,8.1,tt0363163,94,4.2,69653
64009815,8161286,532,94570982,7.6,74,1736,78,7.5,tt0408306,83,3.6,329478
20712786,4941093,1014,empty,7.5,55,empty,63,6.2,tt0388980,82,3.6,62425
42558587,569379,11,10132605,7.5,80,4331,93,8.1,tt0433383,83,3.6,142264
2251143,91479,10,21616224,6.7,60,empty,50,5.9,tt0384686,49,2.9,20213
17174216,77007,3,40530421,6.7,69,1493,62,6.7,tt0402399,57,2.9,147855
41609554,15175969,1795,19832061,7.6,90,1625,91,8.2,tt0475276,83,3.6,128909
79197405,18698672,empty,118992366,6.7,61,1669,54,6.1,tt0343737,51,3.1,182081
44389880,13545548,1876,118992366,7.1,79,2779,73,7,tt0418689,69,3.5,267594
5674567,2679968,1306,18509923,6.7,62,empty,76,6.7,tt0437232,71,3.4,28934
21104579,7088044,859,52885496,6.4,65,1656,55,6,tt0422720,56,3.0,262061
28040363,5360661,791,empty,7.5,65,empty,70,6.6,tt0454776,85,4.0,54171
17704972,5429835,909,26442748,6.3,38,empty,19,4.4,tt0430431,78,3.8,31182
14813887,91279,2,18509923,7.0,54,empty,46,5.6,tt0308055,72,3.6,44952
92862298,24764641,empty,83294656,6.0,66,1665,68,6.7,tt0469641,60,3.4,363338
23277367,188932,4,7932824,7.7,74,2602,87,7.3,tt0455590,89,3.8,257552
18184586,162025,5,25120610,7.9,89,2805,91,8.2,tt0498380,86,3.8,340551
41638594,16861334,empty,81816860,7.7,78,404,89,7.7,tt0443706,77,3.5,491514
5630035,506005,33,empty,7.4,69,empty,82,6.9,tt0796368,77,3.6,41489
11551013,4970516,1355,20139534,6.7,74,empty,79,7,tt0829459,70,3.5,106587
20472435,7745004,2001,69229651,6.9,45,2610,35,5.1,tt0414055,59,3.3,367835
16673202,229678,7,21656030,6.9,62,3160,61,6.3,tt0864761,67,3.5,68681
2088609,73658,2,42214484,7.2,N/A,empty,80,6.5,tt0892255,66,3.6,9616
34549314,10748805,1,38596100,7.2,58,1350,57,5.9,tt1034303,72,3.6,251016
20525660,175313,4,18091922,7.6,94,1328,98,8.5,tt0887912,84,3.9,94136
32342274,9893942,1166,42214484,6.7,50,2108,42,5.3,tt0467200,62,3.4,204961
30797870,12671181,2030,30273816,6.4,56,3813,59,6,tt1175491,42,3.0,109492
100202511,25361264,2711,90459610,7.1,56,1394,62,6.1,tt0985699,65,3.4,238891
38404686,1786462,882,24122562,7.6,84,2424,94,8,tt1013753,89,4.0,177239
43276650,9943004,2125,69280000,7.4,74,2334,76,6.6,tt1057500,74,3.6,211539
12691381,184826,20,40413333,7.3,64,1606,76,6.5,tt0962736,74,3.5,164434
12664239,3851502,707,27439797,7.0,55,empty,55,6.1,tt0968264,62,3.5,21113
5745657,152676,5,empty,7.4,86,empty,96,7.9,tt1664894,73,3.8,12190
4874162,1105998,265,32761664,6.9,50,3967,46,5.5,tt1521197,53,3.3,20107
