Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
35338762,346530,10,8033395,7.7,74,2811,85,7.3,tt0249462,89,3.5,280154
27594503,7398148,1506,46593692,6.7,52,3077,43,5,tt0210616,82,3.5,104186
1791355,89887,9,803339,6.5,54,empty,56,6.1,tt0212974,80,3.8,5930
4901871,67427,7,2892022,7.3,63,empty,74,6.3,tt0210299,78,3.6,2451
43825472,10329511,1183,48200371,7.6,79,1194,91,7.7,tt0146882,90,3.7,211052
3511021,306425,17,16066790,6.5,50,empty,48,5.5,tt0215545,74,3.6,8222
7606396,3217516,581,24100185,6.0,40,empty,20,3.9,tt0134630,48,2.9,10574
97664024,27826527,2653,72300556,5.6,27,1562,22,3.9,tt0200550,71,3.2,698727
4634600,239793,9,9180212,7.8,85,empty,92,7.8,tt0248845,93,4.1,49485
39083061,11030552,1595,87212014,5.9,36,empty,29,4.4,tt0238112,50,2.9,34359
21807333,6980717,2556,59671378,5.3,47,4688,53,5.2,tt0236348,51,2.6,71486
25998210,9208725,2525,87212014,6.2,54,4187,52,5.4,tt0202470,59,3.1,61216
139291779,42116430,2230,19890459,6.2,53,2146,53,5.5,tt0206275,59,3.1,31845692
2907498,45397,3,8735556,7.4,79,2929,73,6.9,tt0254686,81,3.8,19801
6538410,3694417,1202,33660777,2.1,14,empty,7,2.8,tt0118589,45,2.1,44320
1519386,empty,empty,empty,8.2,56,empty,75,6.4,tt0238015,empty,N,271
25322668,7914248,2553,52168674,4.0,37,empty,30,4.3,tt0276033,32,2.7,10666
15977576,7548176,2341,37263339,4.9,36,empty,16,4.3,tt0267248,32,2.7,13031
173981151,76375767,2470,61111876,7.0,77,770,76,6.8,tt0298203,54,3.1,32166982
4522548,914419,62,16395869,5.4,47,empty,57,5.7,tt0280720,40,2.6,19107
2385669,170579,23,empty,7.8,76,empty,92,7.5,tt0314725,90,4.0,3176
1683666,17340,1,empty,7.6,85,empty,96,7.7,tt0372279,85,3.8,4140
43427210,16886816,2026,21542288,5.5,53,empty,42,5.3,tt0191133,66,3.2,32951
116698662,28181211,2614,50265339,7.1,82,1364,92,7.8,tt0332379,64,3.2,32783567
25145503,3033355,133,empty,7.3,81,empty,88,7.4,tt0310281,75,3.5,42437
3276704,134676,11,21542288,6.4,73,empty,71,6.6,tt0335013,49,3.0,7641
2830850,142411,5,empty,7.1,65,empty,65,6.3,tt0379217,75,3.5,40717
2364860,1253689,1200,28723051,2.8,20,empty,9,3,tt0266747,28,2.3,6102
43404322,18463234,1942,35903814,5.3,37,1472,21,4.2,tt0322589,71,3.4,466315
11069236,6653475,801,empty,8.0,66,empty,78,6.8,tt0343121,89,4.0,11792
9426182,208096,22,empty,7.1,61,empty,63,6.1,tt0377084,66,3.5,7998
5061788,32407,2,8590273,7.9,56,empty,68,6.5,tt0372824,92,4.1,34164
8811597,63121,6,32074074,6.7,46,empty,42,5.2,tt0363473,64,3.3,17881
1705096,64648,3,empty,7.5,74,empty,89,7.6,tt0387412,83,3.7,23513
14519765,5609745,2521,20917874,5.9,33,empty,15,3.7,tt0361696,71,3.3,383344
2421591,97040,6,empty,7.0,79,empty,87,7.6,tt0374583,69,3.4,4106
18599196,557811,16,27890499,6.6,53,empty,48,5.7,tt0352277,66,3.3,10386
105016089,27945903,2006,55780998,7.7,73,2870,81,7.3,tt0350258,87,3.8,214154
55873730,22484072,1933,11156199,3.5,37,4269,16,4,tt0365957,69,3.3,243262
40902906,13039606,2503,20917874,4.6,33,4774,13,3.9,tt0361467,35,2.7,395487
11231894,4539095,1014,27890499,6.3,44,empty,44,5.1,tt0345074,71,3.4,12853
10868780,61265,2,empty,7.5,71,empty,84,7.1,tt0438205,83,3.8,8337
23479241,10227670,1625,empty,6.0,59,empty,64,5.9,tt0403455,70,3.4,56426
2458107,104742,9,empty,7.0,57,3475,57,5.8,tt0434124,74,3.3,72674
15799471,8396178,1200,4053042,7.2,84,empty,92,7.7,tt0425598,73,3.3,96566
21316504,10164450,969,6755070,4.3,46,empty,32,4.9,tt0451069,74,3.5,16150
29994721,10832171,1013,10808112,7.4,68,3415,82,7.3,tt0410097,82,3.6,119952
4429449,2127559,352,empty,7.1,74,empty,84,7,tt0436724,85,4.0,8838
75398396,31681565,3216,71603744,5.7,37,4462,30,4.6,tt0377471,42,2.8,212472
14907677,74770,empty,27020280,7.1,71,empty,68,6.6,tt0413015,72,3.3,50160
161472390,30191571,2961,37828393,7.9,72,1382,82,7.2,tt0358273,90,3.9,544849
26890435,6037266,760,13221374,6.8,75,empty,81,7.1,tt0420087,59,3.0,83967
12423953,5477878,empty,19832061,7.0,52,1945,66,6.4,tt0462200,69,3.3,413183
45933784,15933444,3009,39664122,6.7,55,4847,44,5.4,tt0446046,77,3.5,369406
86372752,27314794,2,15865648,6.5,48,1293,19,4.5,tt0462590,83,3.9,615442
9990075,4233530,542,empty,5.4,46,empty,empty,empty,tt0458522,empty,N,19
10999106,4276954,1919,empty,6.8,55,2668,54,5.7,tt0365830,67,3.3,436019
9508587,4848833,1500,22476335,5.5,45,empty,41,5.3,tt0465142,31,2.7,96057
136627481,501023,3,92549618,6.5,76,3328,78,7.2,tt0443489,71,3.4,387797
12964551,226378,8,empty,7.6,66,3997,74,6.8,tt0450188,84,3.9,130454
3843910,84953,7,empty,7.6,80,empty,98,7.9,tt1032856,86,3.9,13389
63583088,19982787,2955,50348837,6.5,59,2762,62,5.9,tt0758766,68,3.4,514597
4989620,64115,4,empty,7.9,75,empty,88,7.6,tt1047007,91,4.2,5350
13032406,1213803,61,empty,8.4,83,empty,93,7.5,tt0892375,92,4.4,6071
23056181,7876035,2650,44055232,6.7,63,2546,74,6.6,tt0841046,57,3.1,302637
39844925,11858874,2310,37761627,7.5,38,2880,37,4.8,tt0426931,82,3.9,228896
