Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
10108585,4834089,2248,96400742,5.6,41,empty,42,5,tt0181151,28,2.5,5952
198116290,68314112,3242,134961038,4.3,38,empty,26,4.4,tt0144528,33,2.6,231540
55500640,20920379,2516,131747680,5.9,49,3542,41,5.2,tt0216216,32,2.7,125691
152633131,48731813,2708,120500927,7.2,62,1167,68,6.2,tt0217869,77,3.4,288019
98458838,28141063,2411,53020408,6.3,40,2188,46,5.3,tt0209958,57,2.8,180511
117623911,42439440,2956,152634508,5.7,24,2132,27,4.4,tt0164052,27,2.6,366482
252730157,87518176,3025,120500927,7.4,64,549,81,7.1,tt0120903,83,3.7,1065186
97805967,36721046,3054,160667903,5.6,34,empty,25,4.1,tt0183523,30,2.6,53403
22845157,10816066,2280,144601113,4.8,19,empty,10,3.2,tt0134983,16,2.4,10995
28086179,14012323,2703,128534322,5.7,34,empty,14,3.8,tt0199753,28,2.6,48256
63047144,22518797,1832,36953617,7.1,49,2320,57,5.6,tt0134847,77,3.5,278126
34498106,18555372,3307,117287569,2.4,9,2970,3,2.3,tt0185183,11,1.6,54004
9354998,4624566,1870,61201413,6.2,33,empty,22,3.9,tt0160399,41,3.0,7350
19294864,10173214,1878,16830388,4.4,25,2897,19,3.6,tt0211443,24,2.5,71202
12905237,5820945,2048,42840989,4.9,35,3565,21,3.7,tt0228333,24,2.4,44536
67177342,29242653,2894,74971731,5.9,25,4522,14,3.9,tt0267804,51,3.1,100598
275424323,104857850,3500,153003533,5.7,50,1409,45,5.5,tt0133152,27,2.7,366230
7308989,3476988,1590,53551236,5.8,38,empty,33,4.7,tt0189192,53,2.9,9453
85318180,30004788,2788,71911660,4.8,43,empty,30,4.3,tt0255798,28,2.5,203514
58617388,20515250,2611,122402826,6.0,40,3611,42,4.9,tt0251075,48,2.9,258754
76983942,26339979,2541,104042402,7.4,49,3619,41,5.1,tt0272152,75,3.2,79157
120286312,44910561,3242,153003533,7.1,65,1390,73,6.6,tt0212720,64,3.1,413110
277190557,77682410,3434,142293286,5.9,42,2119,50,5.2,tt0163025,36,3.0,525232
28306421,13434995,2762,104337349,3.0,14,empty,3,2.5,tt0246894,14,2.1,36793
21306941,10449346,2705,104337349,3.6,19,empty,0,2.6,tt0308208,17,2.2,23038
59799772,26393035,2528,49187607,6.7,33,1160,33,4.5,tt0120804,68,3.4,445696
84490625,33701615,2944,119242685,5.9,42,2496,29,4.8,tt0268695,37,2.7,171547
67169239,14997537,1260,11924268,7.6,73,820,87,7.4,tt0289043,85,3.6,480685
74808655,22434062,3022,89432013,5.3,30,4442,22,4.4,tt0290095,30,2.5,220528
196771464,53177952,3001,152034423,7.7,80,1205,90,8.1,tt0181689,80,3.4,479763
6588277,3253685,2320,149053356,3.8,12,empty,5,2.7,tt0180052,17,2.0,32627
121694839,48484099,2707,80488812,6.7,52,1602,57,5.9,tt0187738,68,3.4,450130
339790512,89606525,3264,107318416,6.7,59,1323,74,6.8,tt0286106,67,3.2,919869
64271626,27594702,2711,89432013,6.4,51,1430,37,5.2,tt0253754,49,3.1,74621
48377184,21581672,2945,97658374,5.5,35,1883,30,4.7,tt0285531,36,2.8,132108
404266147,131802059,3603,215422885,7.2,62,1373,73,6.8,tt0234215,72,3.4,941064
199998260,69617717,3502,215422885,6.7,47,1941,36,5.3,tt0242653,60,3.4,790899
215955859,63250227,3504,287230514,6.4,66,1740,70,6.6,tt0181852,46,3.1,440371
77249660,19334023,2762,86169154,6.3,43,3789,27,4.7,tt0338337,46,2.9,164122
44680516,17310135,3017,86169154,5.4,48,2002,41,5.2,tt0298814,34,2.7,100480
9840724,5759823,1761,31595356,6.1,61,empty,64,6.2,tt0310357,51,2.9,21653
27977313,12122031,2787,114892205,5.6,28,2926,11,3.7,tt0300556,45,2.9,56694
189748778,89225890,3660,196752902,5.7,54,1046,61,6.2,tt0286716,29,2.5,428179
12703176,4534794,1276,27890499,1.9,9,empty,0,2.2,tt0270846,20,2.0,7019
71401704,32124657,3284,62753623,6.2,35,1891,21,3.9,tt0318627,61,3.3,407258
82940240,29852290,3057,125507246,5.2,42,3545,26,4.7,tt0327162,29,2.6,210546
80549172,33871846,2757,146425120,6.7,38,2196,29,4.6,tt0296572,65,3.3,329157
111953992,53397833,3395,83671497,5.6,29,2557,21,4,tt0370263,39,3.0,429633
91967123,27916465,2867,111561996,6.6,76,1915,81,7.1,tt0368008,62,3.2,67915
19990020,9483630,2323,34863123,4.8,24,empty,4,3.3,tt0335121,20,2.5,40364
260414705,119660478,3425,174315619,6.4,47,1287,45,5.3,tt0319262,50,3.2,32748819
201928640,72766154,3420,167342995,7.1,59,1406,58,6,tt0343818,70,3.4,997859
34229203,13627246,2188,54040561,8.0,74,1149,82,7.1,tt0379786,91,3.9,312366
8516470,3679732,1331,39179407,7.1,44,2773,44,5.5,tt0366627,73,3.5,78774
208995885,75739879,3602,135101404,5.7,40,737,27,4.5,tt0120667,45,3.1,758497
316516047,104111780,3908,178333853,6.5,73,755,74,7,tt0407304,42,2.9,32518039
69017114,28510723,3133,67550702,6.8,63,859,60,6.1,tt0371724,65,3.1,233126
42833111,17903023,3495,182386895,5.0,35,4966,13,3.8,tt0382992,40,2.9,76595
34934503,17105340,empty,83762870,5.5,36,3237,10,3.3,tt0402022,39,2.9,421161
102526118,47373627,3332,empty,5.4,44,2917,20,4.5,tt0377109,33,2.8,399915
6934288,3829342,2124,27020280,2.3,9,4212,1,1.7,tt0369226,10,2.0,57882
84667849,27202715,3108,99160305,7.0,59,1798,55,5.9,tt0453467,73,3.6,368829
46653506,237016,empty,100482442,7.9,84,572,92,8,tt0206634,85,3.7,528594
10279261,5130250,empty,20493129,6.5,69,1627,86,6.9,tt0439815,62,3.2,102295
13411775,4982741,1472,46274809,7.3,51,1746,51,5.9,tt0414993,74,3.4,261099
26785574,10846579,empty,26442748,4.7,27,empty,10,3.5,tt0454919,27,2.7,83267
29788145,11374956,2702,39664122,5.1,50,empty,40,5.1,tt0465624,31,2.7,366636
264519247,69458615,4065,276326717,6.1,72,1241,76,7,tt0348150,61,3.3,516214
24460819,11985016,2558,39664122,4.4,18,empty,9,2.8,tt0370032,30,2.6,279900
14538804,5889221,2155,17187786,6.3,55,empty,57,6,tt0469263,49,3.0,283516
70192130,19570024,2281,52885496,8.5,66,210,76,7.1,tt0482571,92,4.0,547619
27026056,12618449,empty,empty,6.3,59,4418,53,5.8,tt0768212,54,3.1,258618
4626747,305823,10,43526569,7.3,64,1748,76,6.8,tt0448134,73,3.5,167227
52610841,17188219,2611,50348837,4.7,29,3630,12,3.1,tt0758730,31,2.7,211584
18970830,7491163,2776,100697674,5.9,45,3449,19,4.3,tt0427392,40,3.0,235938
36046629,empty,empty,18880813,7.0,78,1239,70,6.6,tt0463854,66,3.4,637868
22648745,8978518,2725,88110465,6.2,42,2206,28,4.6,tt0435705,53,3.2,339350
166050884,73070869,3959,163633720,5.6,45,1791,37,4.8,tt0486576,51,3.1,1339075
401841865,88742826,4011,188808139,7.1,61,384,57,5.8,tt0418279,86,4.1,2383321
322718696,97187505,3606,188808139,7.2,65,1171,70,6.4,tt0480249,68,3.6,1128437
62889232,29804724,2828,56642441,6.3,41,2037,22,4.3,tt0432021,58,3.4,389887
162246414,66836444,3505,180919220,6.8,61,824,67,6.2,tt0800080,71,3.6,735323
27176114,13920613,3390,84428969,5.6,26,empty,6,3.1,tt0364970,26,2.8,152175
96695468,38708259,3428,102520891,6.1,35,1543,16,4,tt0489099,44,3.1,320950
384045793,118946749,4105,168857938,7.9,79,486,94,7.7,tt0371746,91,4.2,1075674
25306537,12087518,3185,36183844,5.9,47,4273,31,4.8,tt0443701,32,2.8,253582
95726745,36762970,3560,96490250,5.5,40,1528,21,4.1,tt0970416,27,2.8,303293
96548667,55658647,3411,30153203,7.0,64,523,77,6.8,tt1060277,68,3.4,419093
3706904,empty,empty,30153203,6.6,45,empty,43,5.2,tt0861689,47,3.1,61652
13213646,5942068,1936,36183844,6.0,51,3674,50,5.2,tt0483607,44,3.1,84622
77803555,36807543,2986,57894150,5.0,34,2096,18,4,tt0949731,24,2.6,369883
53004224,22387350,3606,144735376,6.1,37,3519,39,5.1,tt0811080,60,3.2,400980
38224384,17140674,2461,14473537,6.0,53,4346,58,5.7,tt1082868,44,3.0,881814
31204746,11470636,2960,42214484,4.5,33,4329,17,3.6,tt0426592,32,2.8,156874
43498902,15222651,2532,54275766,6.4,43,2418,43,4.8,tt0452608,61,3.5,207325
173211787,63175330,4007,202066666,5.8,32,1612,35,4.6,tt1046173,50,3.3,995886
144705677,49140754,3530,230933333,6.6,49,1675,33,5,tt0438488,54,3.3,883999
92313421,28410285,3332,57733333,6.2,41,1702,34,4.7,tt0448011,42,3.1,431241
191804182,75327698,3404,230933333,5.8,49,756,39,5,tt1190080,46,3.2,507663
19628231,8527533,2450,30021333,5.8,66,2339,74,6.6,tt1017460,37,2.6,251577
23657479,12936609,2502,57733333,5.8,27,2263,28,4.2,tt1034032,39,3.0,251809
297562332,86835885,3849,173200000,8.0,82,230,95,8.2,tt0796366,91,4.1,745334
29282641,14122912,2527,11546666,5.9,34,3158,19,4,tt1220198,40,3.0,171579
133366670,43131774,3049,34640000,8.0,81,1015,90,7.8,tt1136608,82,3.5,1176821
5784507,empty,empty,5773333,7.9,67,1170,89,7.5,tt1182345,89,4.0,98751
57031405,21750860,3521,115466666,5.4,32,3876,26,4.1,tt0457400,32,2.7,542383
44503645,17207641,2951,92373333,6.3,45,3092,39,5.4,tt0986263,38,3.1,294914
34757287,17489380,2523,23093333,6.5,57,3561,67,6.1,tt0433362,49,3.2,208985
207705085,98213640,4099,173200000,6.7,40,801,38,5.1,tt0458525,59,3.6,559448
464305172,125819762,4234,230933333,6.0,35,1176,19,3.9,tt1055369,58,3.5,4080104
15738367,8040596,2223,23093333,6.2,41,2559,63,5.9,tt1121931,49,3.2,256953
36725443,11638011,2313,43877333,6.1,36,2148,23,4.3,tt0465580,42,2.6,2026290
342924289,140626194,4380,219518377,7.0,57,1048,72,6.5,tt1228705,72,3.7,475944
55114060,15388789,2754,39513307,6.4,63,1290,63,6.1,tt1231587,56,3.3,166753
23457102,12833499,2880,10975918,4.4,26,2449,15,3.6,tt1564585,18,2.1,67101
2672254,122638,4,16463878,7.2,69,1729,71,6.8,tt1334260,70,3.6,37229
188854692,48322812,3451,186590621,6.8,49,775,51,5.9,tt1104001,63,3.5,170602
15141098,6724034,2521,35122940,6.3,32,3680,22,4.2,tt1053424,41,3.0,100418
57075533,27177343,2699,43903675,6.4,51,2049,64,5.8,tt1424381,51,3.2,159163
321129258,68912676,3792,175614702,8.8,74,160,86,8.1,tt1375666,91,4.2,564990
59748787,16175628,2961,34945775,7.5,74,903,92,7.5,tt0945513,81,3.8,123895
127334949,58069289,3,218411097,5.6,39,410,empty,empty,tt1133985,71,3.8,7465
2742903,1806284,189,26209331,4.8,60,empty,61,5.4,tt1562871,49,3.1,3879
41010977,13159670,3122,43682219,6.7,53,958,36,5.2,tt1637688,51,3.3,68781
40811625,14244018,2802,43682219,7.0,57,2361,71,6.3,tt1092026,62,3.6,329905
60075943,24850655,3,65523329,6.1,36,744,33,4.8,tt1464540,57,3.5,145123
68248711,23105415,2840,54821185,7.1,60,1959,72,6.6,tt1385826,67,3.5,104002
4984002,1841584,299,21841109,5.8,28,empty,10,3.6,tt0480239,69,3.6,16904
109468243,39784990,3750,178005044,6.0,50,1469,43,5.5,tt0409847,43,3.1,104133
138695610,38714642,3379,54602774,7.1,72,872,82,7.4,tt1650062,75,3.7,134130
18487046,9275553,2996,41498108,6.2,49,1697,35,5,tt0905372,42,3.1,40417
1437225,84896,4,109205,7.0,66,3084,64,6.2,tt1549572,66,3.5,18603
93330675,29834603,3440,120126103,7.1,56,1668,59,5.9,tt0433035,73,3.9,210914
193010596,59851401,3648,101561160,7.6,68,2028,82,7.1,tt1318514,77,4.0,446910
86544802,20647822,2756,29485498,7.4,59,780,70,6.4,tt1219289,74,3.7,107324
91123196,41032004,3417,76443883,5.8,37,2288,35,4.8,tt1217613,48,3.1,93348
159885992,60174008,3641,174728877,7.8,65,576,86,7.4,tt1270798,87,4.0,181988
384830025,106366204,4013,212950819,6.3,42,484,35,4.9,tt1399103,55,3.5,256230
19315107,9505546,3328,5460277,5.2,24,empty,24,3.8,tt1772240,23,2.4,42346
192916521,71047518,3715,152887767,6.9,66,215,80,6.9,tt0458339,74,3.7,183617
37371330,13871554,3168,73979899,5.7,36,2905,17,4,tt1298649,39,3.0,80454
29492165,10457545,2008,110969849,7.5,55,483,66,6.6,tt1371111,66,3.6,186423
79504566,32834224,3749,286889698,6.6,51,360,51,5.7,tt0401729,60,3.5,113857
70970005,27780349,3690,227379396,5.9,41,902,34,4.6,tt1440129,54,3.3,456048
678175816,225680805,4349,239346733,8.1,69,187,92,8,tt0848228,91,4.4,1128609
443891029,165949694,4137,84859296,7.3,68,332,84,7.2,tt1392170,81,4.1,900510
3626998,1899569,1012,10879396,5.5,26,empty,4,3,tt1985017,61,3.5,12821
70250981,23939131,2907,13055276,7.1,69,1960,85,7.1,tt1706593,71,3.7,114782
137586189,55539431,3396,141432160,7.0,65,428,73,6.9,tt1446714,68,3.6,260154
14594399,6830619,2506,38077889,7.1,59,1449,78,6.5,tt1343727,72,3.7,152380
15586764,6779861,2308,21758793,6.1,48,2985,38,5,tt1592525,46,3.2,164328
46069384,22903553,3012,70716080,5.4,39,1267,31,4.4,tt1855325,52,3.3,241345
19705774,8654894,2433,1087939,5.0,N/A,empty,18,4,tt1991245,28,2.6,141681
141198319,56576272,3924,127822878,6.7,60,1180,69,6.3,tt1430132,69,3.7,251605
435677882,185497184,4253,213038130,7.2,62,651,79,7,tt1300854,79,4.0,480287
108420943,39715979,3275,202386223,7.0,64,272,71,6.6,tt1663662,77,3.9,191878
64467571,29314089,3401,138474784,4.9,33,1446,11,3.9,tt1815862,36,2.8,121307
4861157,182346,8,41755473,7.0,84,749,95,8.1,tt1706620,72,3.7,55980
98606919,31750556,3284,122496924,6.6,61,677,67,6.5,tt1535108,58,3.4,162113
18547025,8723023,2313,3728167,6.3,50,2303,41,4.9,tt2387433,49,3.3,28909
130498692,43142153,3719,138474784,5.8,41,1635,29,4.5,tt1583421,48,3.2,198894
291954500,59421779,3575,106519065,7.8,96,946,96,9,tt1454468,80,4.0,300256
243692891,74739697,3868,202386223,7.8,72,465,86,7.5,tt1408101,90,4.2,310925
27698311,9363278,1551,21303813,7.0,81,1265,89,7.4,tt1213663,71,3.7,91485
2774863,141834,4,14167035,6.3,78,853,85,7.8,tt1441395,55,3.2,34957
2334198,1117981,208,18374538,5.4,N/A,empty,83,6.5,tt1029231,52,3.3,2004
65761878,28778629,3407,117170971,6.7,51,1039,60,6,tt1731141,65,3.6,117804
44764780,20270977,3117,40477244,6.4,49,1757,58,5.4,tt1411250,56,3.4,97023
27222081,empty,empty,24499384,8.0,90,454,95,8.5,tt1798709,82,4.0,98071
68623469,36278646,2536,3195571,5.7,41,580,37,5.1,tt2184339,36,2.9,95393
275346207,100722818,3938,180195838,7.8,70,173,89,7.5,tt1843866,92,4.3,275745
133006390,46532225,3173,42399020,6.4,61,638,67,6.1,tt2872732,47,3.2,133621
357355785,129208508,4151,132496940,6.7,64,940,65,6.3,tt1951265,72,3.8,245982
260159412,106038244,4233,222594859,5.7,32,243,18,3.9,tt2109248,51,3.2,222856
247951099,96270856,3996,211995104,8.0,74,351,91,7.5,tt1877832,91,4.3,273870
72658141,31604945,2805,9539779,6.5,50,847,56,5.4,tt2975578,56,3.4,67042
46467843,empty,empty,26499388,6.5,47,521,35,5.3,tt0435651,56,3.4,55350
108555915,empty,empty,36039167,6.8,57,228,65,6,tt1790864,68,3.7,92861
199296615,50359818,3561,174895960,8.6,74,108,71,7,tt0816692,85,4.1,168997
41078277,8744798,3230,13779681,5.8,53,empty,49,5.3,tt2183034,47,3.2,33866
214797680,97102594,4324,211995104,6.7,53,603,52,5.8,tt1872181,65,3.6,220261
20202092,9126856,2753,68898408,5.2,30,1383,3,3.1,tt1418377,38,2.8,58149
212648833,98795018,3952,169596083,6.5,62,1134,74,6.6,tt0831387,66,3.6,174692
160001073,57882875,3936,90097919,6.7,48,310,41,5.4,tt1840309,69,3.8,138753
353159039,99977827,4080,180195838,8.1,76,103,91,7.8,tt2015381,92,4.4,247045
62121992,26564662,3372,105997552,6.2,52,1473,49,5.6,tt1234721,50,3.3,126770
105989334,30485156,3490,188675642,7.9,71,418,91,7.5,tt1631867,90,4.2,144580
12611764,5525758,2353,26709371,6.5,34,1127,19,4.5,tt2140379,47,3.2,23394
157828093,46667566,3702,154092526,8.1,90,130,97,8.6,tt1392190,86,4.2,120781
12617791,6126024,2880,14381969,5.1,29,2623,14,3.3,tt2637294,27,2.6,34902
289350897,105467069,4175,164365361,6.6,65,357,70,6.5,tt1951266,66,3.6,200388
26137131,5495453,1255,15409252,7.7,78,171,93,8.1,tt0470752,86,4.1,68590
133542559,53689616,3875,113001186,6.3,42,558,28,5,tt2908446,59,3.5,76056
22940296,8731909,2893,12327402,6.4,47,1831,35,4.7,tt2436386,45,3.2,28464
92209950,27755645,3758,159228944,6.5,38,322,25,4.7,tt1340138,54,3.3,81184
9496789,5246957,3015,2054567,6.8,51,151,48,5.2,tt3072482,57,3.3,16879
83916311,31143650,3791,62664294,6.4,43,170,48,5.4,tt4046784,55,3.4,61193
234663392,55790303,3831,110946619,8.0,80,109,92,7.8,tt3659388,91,4.3,127246
57648631,26386534,3995,123274021,4.3,27,485,9,3.4,tt1502712,18,2.1,136874
471529159,196489656,4276,256820877,7.5,66,141,75,6.7,tt2395427,84,4.1,282742
1181250,111548,35,2548095,5.7,42,2979,56,4.8,tt3864024,74,3.9,3889
5932640,2536713,2797,41091340,6.0,36,615,24,4.5,tt1976009,36,2.9,27819
670066857,214503238,4274,154092526,7.0,59,221,71,6.7,tt0369610,78,3.9,222494
14828430,5603096,2778,28763938,6.1,50,566,43,5.4,tt3316948,45,3.1,19190
26502931,10481822,2666,3390035,5.2,31,2359,14,3.8,tt2918436,23,2.5,17473
48680626,18873634,3181,180801897,5.4,40,544,26,4.3,tt1617661,38,2.9,94564
