Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
5103856,empty,empty,empty,6.5,N/A,empty,empty,empty,tt0268575,empty,N,4
19878491,8447561,2585,38560296,5.3,23,empty,23,3.9,tt0217756,52,2.7,33506
185810156,33588960,1865,48200371,7.8,48,1014,73,6.3,tt0210945,93,3.9,577424
109863105,27895330,2380,44987012,5.9,52,1225,63,5.9,tt0204946,66,3.1,767274
5518163,2589698,802,28920222,6.5,32,empty,33,4.8,tt0188160,76,3.8,1375
71878094,17736473,2754,80333951,6.5,30,2622,41,5,tt0191397,66,3.1,159528
2448484,317955,28,1606679,6.8,70,empty,87,7.3,tt0210075,74,3.5,11782
2002302,325416,205,7230055,3.8,43,empty,20,4.2,tt0196106,39,2.7,7118
44089075,13077049,1237,32133580,7.2,70,4835,82,6.7,tt0199725,95,3.9,186481
54787176,91485,5,9640074,7.0,61,empty,73,6.7,tt0156812,67,3.1,46307
29952221,928887,41,empty,7.5,57,empty,67,6.2,tt0245280,82,3.8,3118
49317377,18503659,2061,128534322,6.7,47,2686,43,5.2,tt0146984,65,3.2,50914
1978787,158136,20,empty,7.7,76,empty,92,7.5,tt0275309,89,3.9,13753
2668172,1176719,232,empty,6.0,N/A,empty,11,4.1,tt0262462,60,3.4,923
61537574,14361434,2137,48961130,6.3,48,2678,39,4.7,tt0180734,70,3.3,55217
49904962,18627421,2905,143823321,4.5,29,empty,14,3.6,tt0132245,33,2.5,43129
89023523,15631797,2446,163713780,6.8,65,2787,67,6.3,tt0248667,65,3.3,106967
6203104,empty,empty,5814134,5.6,N/A,empty,empty,empty,tt0186895,70,3.4,3087
21272482,6933607,2011,36720848,6.3,22,empty,8,2.9,tt0253798,84,3.5,47088
6256030,914695,47,empty,6.5,60,empty,74,6.8,tt0297445,38,3.1,57
112684444,23880857,2511,29810671,7.0,72,3582,83,7.2,tt0265662,70,3.3,60963
60203614,21120048,3002,44716006,5.6,61,2660,61,5.8,tt0300532,58,2.9,371303
28306421,13434995,2762,104337349,3.0,14,empty,3,2.5,tt0246894,14,2.1,36793
75078444,19106177,3074,50265339,6.9,38,empty,36,5,tt0316465,79,3.6,170877
172737349,29950581,1987,124945273,7.3,72,4795,77,7.1,tt0329575,76,3.3,118166
7341080,3606757,2253,empty,6.0,30,empty,8,3.1,tt0338077,79,3.5,52853
5274199,195295,5,empty,7.5,72,empty,82,6.9,tt0308508,92,4.1,5739
3174451,187424,26,empty,7.9,80,empty,93,7.5,tt0389326,94,4.1,6658
140042081,250948,8,41835748,8.1,86,788,91,8.4,tt0405159,90,3.8,403576
23708504,9927602,2034,43230273,6.3,59,3906,60,5.9,tt0360201,57,3.0,95311
159427771,41933638,2694,27890499,6.7,55,850,70,6.3,tt0364725,76,3.4,995007
85328311,28265661,2667,41835748,7.3,70,813,81,7.1,tt0390022,85,3.6,185443
213621610,79187316,3,110783151,6.4,48,759,31,4.8,tt0398165,62,3.3,32773971
83282343,24750854,2812,118889235,8.0,69,2256,80,7.4,tt0352248,91,3.8,281564
14872546,7597255,1865,33775351,7.1,56,2818,55,6,tt0355702,81,3.6,68164
44179629,12399921,2007,43232449,6.9,59,empty,64,6.3,tt0418647,78,3.6,90675
47858773,10406103,1829,empty,5.8,46,4854,40,4.8,tt0267891,68,3.3,398047
6928167,541462,114,33775351,7.9,68,empty,82,6.9,tt0412080,89,3.8,35635
20712786,4941093,1014,empty,7.5,55,empty,63,6.2,tt0388980,82,3.6,62425
30886949,11758199,2391,27020280,6.2,50,empty,22,4.7,tt0417217,48,3.1,85440
22708297,8110457,2464,44718564,5.1,36,empty,13,3.7,tt0376108,38,2.9,52352
44401293,15377879,3183,40530421,5.8,65,empty,48,5.6,tt0408524,46,3.1,76598
90859871,39406620,2524,40530421,7.2,57,2056,65,6.1,tt0393162,85,3.7,406312
5783119,2596430,1007,13510140,6.8,53,empty,44,5.2,tt0380389,77,3.7,96305
56380152,22380598,2222,empty,7.2,58,empty,55,5.9,tt0385726,81,3.6,338508
35526922,14283856,2038,empty,6.4,53,3902,31,4.9,tt0430634,73,3.4,320869
76405757,22517483,2917,52885496,7.1,63,3548,71,6.5,tt0445990,73,3.6,87319
50813472,19058121,3504,39664122,6.9,52,3222,42,5.7,tt0421206,81,3.7,286656
13452302,1776340,441,132213,6.7,38,empty,13,4.1,tt0805526,85,3.9,88024
44610414,14187026,2623,26442748,6.4,45,1327,43,5,tt0454945,79,3.7,607104
76223593,25988500,3274,43630534,5.6,25,3660,11,3.1,tt0437863,64,3.3,421544
92895771,22481497,empty,31731297,7.2,63,1253,76,6.5,tt0479143,76,3.5,514610
9267744,5820211,1023,7403969,2.1,30,empty,2,3.2,tt0473024,59,3.3,102554
106032766,37429179,3070,42308396,5.7,52,1554,40,5.1,tt0457510,54,2.9,416704
57555674,11347254,empty,85938931,7.1,53,3812,49,5.8,tt0758794,79,3.6,202601
195958449,62196272,3803,95854961,6.6,66,2058,72,6.5,tt0415306,73,3.4,553674
22645558,10155563,1605,34375572,5.8,37,empty,10,3.9,tt0417433,60,3.2,119186
3719569,1706704,1164,11328488,6.2,52,empty,60,5.8,tt0441007,58,3.3,150815
7167544,3469866,1019,8811046,2.0,18,empty,6,2.4,tt0785077,58,3.3,40975
148722324,41555667,3372,76781976,6.3,64,2760,69,6.2,tt0445934,68,3.4,1402697
16802981,6991683,2812,empty,4.2,25,4377,9,2.7,tt0790804,33,2.7,120361
7244298,3411693,2525,69229651,5.9,49,empty,29,5,tt0338216,28,2.8,207212
3993384,2099117,1605,16363372,6.8,55,empty,60,6.1,tt0416185,60,3.4,29862
32259291,11028118,2231,27691860,5.1,41,empty,13,4,tt0419984,32,2.8,246537
41341795,18015883,3052,empty,5.3,38,empty,23,4.2,tt0424823,32,2.7,323931
114086667,28888867,3103,27691860,6.2,44,3732,29,4.6,tt0492956,69,3.5,406700
7551030,2946342,1133,empty,6.6,48,empty,48,5.4,tt0425413,64,3.5,102789
40372546,18182519,3121,66337047,5.8,47,4618,21,4.5,tt0839980,38,2.9,290427
2828185,76421,6,8442896,6.8,69,empty,68,6.3,tt1012804,65,3.4,21934
29973396,10376555,2729,24122562,6.6,39,2081,22,4.4,tt1023111,34,2.9,609414
31644705,244499,4,7236768,7.9,81,1033,98,8.4,tt1125849,88,4.0,139137
38880496,16773780,3012,74779944,3.8,24,empty,14,3.3,tt0811138,33,2.7,240551
2199336,255047,70,empty,6.8,67,empty,73,6.3,tt0405393,66,3.5,19352
11566618,5503170,2808,48245125,7.3,58,empty,61,6.2,tt0469903,74,3.1,820161
2153397,1112199,975,8082666,6.5,49,empty,46,5.4,tt1034324,64,3.7,3891
295547873,39396501,empty,33485333,7.7,53,1216,66,6.1,tt0878804,85,4.1,430737
15060736,5370137,1721,17320000,6.9,68,3908,84,7,tt1172233,74,3.7,113751
1606642,966705,empty,empty,6.4,43,empty,40,5.1,tt1440770,65,3.7,8998
26599270,12729472,2309,empty,5.6,61,2775,39,4.9,tt1082601,36,2.6,765902
1741496,80669,2,empty,8.6,79,empty,92,7.9,tt1424432,95,4.4,17661
23620966,9093536,1831,empty,5.8,51,empty,45,5.1,tt1407061,60,3.3,108480
102753269,13319791,2503,27439797,7.9,79,1455,90,7.8,tt0964517,89,4.1,120340
4551844,empty,empty,empty,6.8,64,2110,82,6.5,tt1456635,70,3.7,21998
82565392,21296503,2993,54602774,7.6,87,1593,94,8,tt1210166,86,4.0,90211
14914327,5724671,1869,27301387,8.2,71,530,82,7.3,tt1291584,92,4.3,57954
11116333,empty,empty,empty,7.2,75,empty,94,7.8,tt1606392,85,3.9,31754
6530636,2467745,2002,21758793,7.2,45,4369,31,4.9,tt1629757,70,3.8,18864
1991446,273117,55,14143216,6.0,42,empty,41,5.4,tt1954352,61,3.6,10531
49273134,12855743,3014,45693467,6.5,40,2871,38,4.8,tt1648179,65,3.7,60411
14253252,6255966,2837,38077889,5.7,27,4957,3,3.4,tt1540128,41,3.0,20436
38898799,13231566,3212,65276381,6.8,58,1806,51,5.6,tt2083383,66,3.6,45813
101194542,29279048,3003,42607626,7.5,62,3284,79,6.8,tt0453562,86,4.1,119071
3046397,1685627,381,1278228,6.0,N/A,empty,45,5.7,tt2051894,81,4.2,2826
31745622,empty,empty,42607626,6.4,35,3852,29,4.6,tt1661382,46,3.2,35896
30976972,empty,empty,15899632,6.7,41,4072,17,4.6,tt2247476,72,3.8,21137
30560307,10370379,2781,26499388,6.8,54,2309,60,5.9,tt2223990,65,3.6,34907
38490614,11141402,3019,26499388,7.0,56,empty,63,6,tt1647668,68,3.7,35435
12821781,empty,empty,25439412,7.0,81,1460,88,7.9,tt1100089,66,3.5,56723
122573337,32457982,3131,68898408,7.2,59,762,52,6,tt1809398,70,3.7,52751
45682888,11321484,2755,17463819,7.4,60,1824,80,6.7,tt2097298,88,4.2,26251
14786577,empty,empty,12327402,6.4,57,3421,77,6.4,tt4183692,81,4.2,9793
53743933,17156963,2772,30818505,7.4,57,316,61,6,tt1798684,76,3.8,42898
112706237,30441310,3404,35954922,7.7,82,241,94,7.9,tt3076658,89,4.2,72989
2307278,1402241,1565,20545670,7.0,34,1720,96,7.2,tt3719896,64,3.5,7698
29557229,10072514,2910,107864768,5.3,34,147,9,3.7,tt2058673,31,2.6,17443
35473981,10800600,2841,35954922,7.1,55,425,61,6.1,tt3322364,75,3.8,31902
