Gross,OpeningWeekend,Screens,budget,imdb_rating,metascore,popularity,tomatoMeter,tomatoRating,ttnumber,userMeter,userrating,userreviews
8650093,98082,2,3213358,8.1,83,2986,92,7.8,tt0245712,94,4.2,103603
8382844,2418937,1357,38560296,4.6,14,empty,2,2.7,tt0163676,38,2.6,6587
1962174,65430,5,2410018,7.9,80,empty,92,7.5,tt0247586,94,4.2,13718
163307690,40706897,3006,144601113,6.5,35,2233,24,4.4,tt0187078,77,3.5,954810
52376019,16400769,2705,104434137,6.2,45,empty,40,5.3,tt0228750,43,2.9,47070
97805967,36721046,3054,160667903,5.6,34,empty,25,4.1,tt0183523,30,2.6,53403
199400879,296793,4,77120593,7.6,86,1873,92,8,tt0181865,85,3.6,189809
1864178,322645,20,321335,3.9,N/A,empty,empty,empty,tt0217107,70,3.6,1262
27214217,10801516,1335,11246753,7.0,63,3149,67,6.4,tt0181984,78,3.4,46640
28605752,8618065,1516,32133580,7.0,59,empty,76,6.7,tt0208874,73,3.5,8163
11160082,273707,9,empty,7.3,79,3018,86,7.2,tt0203119,85,3.7,38283
98458838,28141063,2411,53020408,6.3,40,2188,46,5.3,tt0209958,57,2.8,180511
55537666,74980,8,128534322,7.3,67,empty,83,7.2,tt0146309,80,3.5,29863
113004577,34888644,2337,73907235,5.9,50,2190,68,6.1,tt0162650,41,2.9,64522
26959489,12780755,1970,80333951,4.8,16,empty,7,3,tt0160484,21,2.6,10720
2520476,100020,4,3213358,6.0,70,empty,56,5.8,tt0171359,47,3.0,10232
2051703,204274,9,16066790,6.2,57,empty,53,5.6,tt0173716,67,3.4,9577
8208233,3730273,1525,38560296,5.9,31,empty,empty,empty,tt0176783,empty,N,4
85639710,16092211,2587,36953617,6.7,36,2114,34,4.7,tt0195714,69,3.4,482850
24622560,8813584,2352,81940630,5.7,39,empty,26,4.2,tt0211938,41,3.0,11889
22845157,10816066,2280,144601113,4.8,19,empty,10,3.2,tt0134983,16,2.4,10995
89931185,28943524,2641,40166975,6.1,52,4205,33,4.8,tt0165929,61,3.1,192066
98526150,24118149,3155,96400742,6.4,45,empty,36,5,tt0160797,55,3.2,49374
145330614,29070890,2805,104434137,6.4,73,4172,78,6.7,tt0186566,53,3.0,72670
41042402,378353,11,14460111,8.5,80,445,92,8.2,tt0209144,94,4.1,377769
28086179,14012323,2703,128534322,5.7,34,empty,14,3.8,tt0199753,28,2.6,48256
252595773,88746824,3230,133113074,6.8,57,1344,39,5.1,tt0212985,62,3.4,402518
147605331,21558124,1678,26010600,7.6,74,1112,83,7.2,tt0230600,77,3.4,343269
20049319,6439390,1497,16830388,7.3,64,3347,73,6.8,tt0264616,79,3.5,52572
24507192,10582680,1434,7650176,6.2,53,empty,64,6.1,tt0184791,58,3.0,36005
10335803,4620949,1514,22950530,5.3,35,empty,7,3.3,tt0245120,40,2.9,10922
21006990,2810778,199,27540636,6.1,66,4575,77,6.8,tt0236784,46,3.0,12432
116682079,34503502,2712,68851590,7.7,70,1080,72,6.5,tt0139654,89,3.7,299771
48346527,16853060,2305,53551236,6.8,54,2335,57,5.7,tt0120681,66,3.3,202908
221142012,61337609,2628,58141342,6.7,58,636,53,5.4,tt0232500,74,3.4,1042603
113312424,25570573,2530,91802120,6.3,42,1626,31,4.6,tt0164334,53,3.1,173963
17798013,7675960,1806,empty,6.1,30,empty,20,4.3,tt0211465,51,3.1,39499
27859002,10845216,2262,110162544,6.9,43,empty,52,5.5,tt0272020,74,3.4,45683
108739433,29099446,2129,104042402,6.8,71,2791,73,6.5,tt0227445,67,3.3,59811
106755108,27763458,2678,156063604,6.5,32,2421,26,4.3,tt0244244,60,3.1,244325
31188448,15338065,2310,44371024,4.7,18,empty,8,3,tt0242998,33,2.5,56284
69168478,21471157,2910,114752650,5.5,29,empty,24,4,tt0249478,37,2.9,42524
67177342,29242653,2894,74971731,5.9,25,4522,14,3.9,tt0267804,51,3.1,100598
33619744,11241565,2497,35190812,6.6,75,2744,73,6.6,tt0206314,65,3.1,63599
1573391,109888,8,empty,6.4,67,empty,80,6.5,tt0270259,51,3.1,3617
11046209,1469687,247,22950530,8.0,81,250,82,7.4,tt0166924,88,3.7,186881
7527614,3627421,1000,19890459,6.1,51,empty,58,5.7,tt0188453,40,2.8,22208
280617310,58306314,3075,130053003,7.8,74,693,82,6.9,tt0240772,80,3.6,32600449
2447140,282232,27,11924268,6.8,83,empty,85,7.5,tt0278731,68,3.4,20906
12090254,149816,5,14905335,7.4,78,empty,94,7.8,tt0301199,82,3.6,31230
3543516,158208,13,empty,7.0,64,empty,64,6.4,tt0118926,77,3.6,4811
7890176,3383943,753,empty,4.8,55,empty,33,4.8,tt0270707,27,2.6,10118
99553106,25529951,2613,67074010,6.5,69,empty,77,7,tt0264472,53,3.0,54993
58394953,25656758,2623,56640275,5.6,25,empty,22,4,tt0278435,67,3.1,123296
37705203,13575505,2573,31301204,6.8,51,1815,54,5.6,tt0293662,73,3.5,311685
176585478,46472639,3183,101356282,6.4,45,2552,59,6,tt0164184,49,3.0,89224
42575490,16882678,2856,12669535,5.0,29,3403,14,3.9,tt0283026,32,2.5,49805
181340821,40421243,2638,89432013,7.9,68,386,83,7,tt0258463,93,3.9,963959
47096584,479228,7,17886402,6.8,64,3453,81,7,tt0265459,64,3.0,177316
7208172,3329143,1800,59621342,4.5,17,empty,8,3,tt0283160,27,2.6,8113
