ttnumber,Action,Adventure,Animation,Comedy,Crime,Horror,Documentary,Biography,Drama,Romance,Sci-Fi,Thriller,Family,Fantasy,History,Mystery,Sport,Music,gross
tt0484562,0.0,20651610.0376,0.0,0.0,0.0,0.0,0.0,0.0,21809506.0657,0.0,0.0,0.0,24413597.6691,0.0,0.0,0.0,0.0,0.0,11066344.0
tt0301199,0.0,0.0,0.0,0.0,13072822.7872,0.0,0.0,0.0,17697075.7671,0.0,0.0,14847012.0324,0.0,0.0,0.0,0.0,0.0,0.0,12090254.0
tt0296166,0.0,0.0,0.0,13820101.47,0.0,0.0,0.0,0.0,13213788.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8712062.0
tt1600196,0.0,0.0,0.0,0.0,19260311.8289,0.0,0.0,0.0,21578292.5444,0.0,0.0,0.0,0.0,0.0,0.0,20567263.895,0.0,0.0,8078234.0
tt0381681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13626381.2414,16196734.4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13411775.0
tt0414993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31733971.9418,0.0,11357897.1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68974383.0
tt0443536,63527455.7106,0.0,75988133.635,73180898.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13236279.0
tt0472160,0.0,0.0,0.0,23921616.6486,0.0,0.0,0.0,0.0,0.0,25639447.5508,0.0,0.0,0.0,19817858.9903,0.0,0.0,0.0,0.0,92415443.0
tt0209475,0.0,0.0,0.0,70871706.3397,0.0,0.0,0.0,0.0,0.0,69029348.5431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37595513.0
tt0308644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22580840.4361,26393976.3067,0.0,0.0,0.0,32621009.6452,0.0,0.0,0.0,0.0,0.0,72064316.0
